model,FLOPS,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,pixel4|gpu|float|mean,pixel4|gpu|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,s10|gpu|float|mean,s10|gpu|float|std,mi8se|1large|float|mean,mi8se|1large|float|std,mi8se|2large|float|mean,mi8se|2large|float|std,mi8se|1small|float|mean,mi8se|1small|float|std,mi8se|2small|float|mean,mi8se|2small|float|std,mi8se|3small|float|mean,mi8se|3small|float|std,mi8se|4small|float|mean,mi8se|4small|float|std,mi8se|5small|float|mean,mi8se|5small|float|std,mi8se|6small|float|mean,mi8se|6small|float|std,mi8se|gpu|float|mean,mi8se|gpu|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,a03s|gpu|float|mean,a03s|gpu|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphone7|gpu|float|mean,iphone7|gpu|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,iphonexs|gpu|float|mean,iphonexs|gpu|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,mi8se|1large|quant|mean,mi8se|1large|quant|std,mi8se|2large|quant|mean,mi8se|2large|quant|std,mi8se|1small|quant|mean,mi8se|1small|quant|std,mi8se|2small|quant|mean,mi8se|2small|quant|std,mi8se|3small|quant|mean,mi8se|3small|quant|std,mi8se|4small|quant|mean,mi8se|4small|quant|std,mi8se|5small|quant|mean,mi8se|5small|quant|std,mi8se|6small|quant|mean,mi8se|6small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
bagnet9,31865981928,62695276,908365.0,1460.0,1060170.0,2323.0,569735.0,499.0,454705.0,2800.0,699474.0,125691.0,3827190.0,6506.0,1942850.0,12681.0,1334270.0,8547.0,1051700.0,12998.0,102523.0,223.0,763905.0,6534.0,478526.0,3708.0,2012990.0,327.0,1075170.0,3235.0,548018.0,9701.0,4404080.0,55228.0,2253450.0,24774.0,1788210.0,53150.0,1556050.0,66246.0,104048.0,2242.0,2139600.0,1211.0,1132760.0,2502.0,5089530.0,16896.0,2591430.0,6822.0,1781010.0,8928.0,1383650.0,6646.0,1150760.0,14063.0,1037370.0,13077.0,391528.0,276.0,5120340.0,1398.0,2843330.0,1255.0,2056960.0,1136.0,1720990.0,2515.0,5943740.0,1730.0,3286670.0,1508.0,2368550.0,1673.0,1963190.0,2466.0,918416.0,576.0,754978.0,2420,449428.0,8894,133836.0,183,631391.0,477,398065.0,10459,3471660.0,13435,1748060.0,9483,1173440.0,10776,926289.0,6938,53344.5,85,305536.0,1044.0,361073.0,753.0,215178.0,834.0,169762.0,218.0,196420.0,1135.0,1142580.0,22516.0,657977.0,2750.0,509333.0,1360.0,434733.0,25479.0,286408.0,555.0,186610.0,2543.0,1071120.0,298.0,581542.0,228.0,242662.0,7688.0,1338920.0,28165.0,748151.0,12959.0,572960.0,14246.0,613080.0,24204.0,1387520.0,6066.0,756038.0,8100.0,3785790.0,6519.0,2020780.0,10033.0,1441830.0,4401.0,1142040.0,10302.0,967350.0,5936.0,880474.0,5186.0,2860020.0,1612.0,1539630.0,441.0,1101870.0,801.0,873511.0,733.0,3595740.0,666.0,1930620.0,844.0,1376190.0,718.0,1100750.0,16223.0,624528.0,10961,357269.0,6226,487326.0,923,271654.0,277,2395470.0,37215,1260670.0,3154,899971.0,5586,726588.0,7122
bninception,4081180616,45207824,129152.0,167.0,150060.0,238.0,84920.8,69.0,63877.4,380.0,77689.8,73.0,555934.0,9248.0,287386.0,2613.0,207672.0,863.0,166041.0,1510.0,26821.4,406.0,105643.0,1175.0,71235.6,1151.0,283125.0,284.0,154178.0,271.0,77224.6,1559.0,655653.0,25075.0,353816.0,3246.0,286161.0,18619.0,265970.0,8950.0,27894.8,1285.0,305431.0,314.0,172386.0,296.0,733152.0,6318.0,393114.0,2473.0,273877.0,3307.0,219127.0,843.0,186938.0,1044.0,176510.0,3104.0,66637.2,107.0,791563.0,564.0,477056.0,1323.0,359990.0,2048.0,299477.0,730.0,899826.0,428.0,536910.0,876.0,401571.0,1085.0,336972.0,1078.0,142479.0,886.0,101242.0,850,57967.2,1594,22177.0,177,83612.6,78,51702.1,2281,433265.0,3950,229204.0,2819,160502.0,1334,131311.0,3426,9457.08,36,37772.7,37.0,45519.5,110.0,27911.8,131.0,22563.2,89.0,24970.1,45.0,153458.0,989.0,93371.5,614.0,75617.0,421.0,65123.6,1159.0,39165.7,160.0,27838.4,133.0,141622.0,99.0,78190.5,53.0,33919.3,67.0,179099.0,1262.0,103577.0,3195.0,82408.5,2806.0,83897.1,8757.0,171848.0,619.0,94906.3,687.0,506392.0,4558.0,274857.0,1343.0,208097.0,2460.0,161419.0,1031.0,144303.0,2006.0,140447.0,3576.0,376709.0,273.0,219740.0,454.0,161247.0,444.0,130340.0,395.0,471179.0,396.0,269298.0,941.0,195828.0,572.0,159510.0,743.0,79001.6,962,45173.4,4016,64616.1,221,38288.0,57,298643.0,1594,164651.0,1771,121646.0,2210,100074.0,2673
densenet121,5672997864,32028760,228115.0,472.0,260875.0,324.0,159011.0,119.0,127917.0,123.0,146878.0,120.0,826286.0,10498.0,447260.0,3628.0,333156.0,592.0,284318.0,13663.0,41051.7,301.0,170132.0,1240.0,117709.0,604.0,432410.0,178.0,242418.0,139.0,128544.0,969.0,1022870.0,12846.0,585558.0,13388.0,469275.0,16428.0,483227.0,21125.0,53815.5,1997.0,475509.0,494.0,278419.0,673.0,1111630.0,4110.0,598730.0,4315.0,437013.0,3140.0,368762.0,1962.0,322334.0,3061.0,315082.0,14516.0,97946.7,336.0,1312960.0,869.0,869035.0,2881.0,685570.0,2801.0,571278.0,2442.0,1501100.0,909.0,952720.0,3546.0,748604.0,1369.0,631946.0,1705.0,250955.0,7689.0,172163.0,538,108467.0,1134,33600.2,280,134854.0,163,82962.2,1181,648683.0,2589,356211.0,2500,259886.0,4815,219651.0,4740,16542.2,32,83377.3,62.0,98856.5,140.0,71851.4,216.0,63540.8,266.0,63738.6,33.0,303056.0,1619.0,207677.0,523.0,177316.0,484.0,160974.0,749.0,74478.9,118.0,56742.5,670.0,240577.0,298.0,149229.0,323.0,73920.4,851.0,338252.0,11819.0,226065.0,7396.0,197270.0,6696.0,217302.0,3575.0,296520.0,1437.0,182051.0,420.0,804115.0,2491.0,482357.0,3910.0,378610.0,2349.0,319253.0,2631.0,288925.0,3638.0,283355.0,6332.0,613675.0,763.0,381022.0,1108.0,301403.0,1868.0,252888.0,6986.0,756016.0,1159.0,464873.0,2018.0,363901.0,1486.0,311082.0,650.0,128430.0,1240,82649.5,482,101792.0,471,65074.1,91,479575.0,1707,287927.0,2893,226599.0,2613,207557.0,11748
densenet169,6724485352,56757396,265510.0,221.0,303343.0,125.0,183686.0,223.0,146928.0,151.0,175171.0,219.0,977960.0,7257.0,529360.0,2563.0,392698.0,602.0,334086.0,17685.0,58845.5,399.0,204486.0,1123.0,140292.0,1426.0,514788.0,332.0,288276.0,196.0,160793.0,6036.0,1233430.0,21763.0,694824.0,3141.0,551531.0,24520.0,533956.0,17227.0,75854.6,2674.0,564216.0,389.0,331605.0,908.0,1322910.0,8099.0,711289.0,7048.0,551555.0,75696.0,438309.0,4191.0,384086.0,4104.0,372891.0,15943.0,127309.0,207.0,1589760.0,21256.0,1040320.0,3038.0,827415.0,3513.0,694943.0,7046.0,1798290.0,534.0,1163790.0,3931.0,901079.0,2360.0,774836.0,8393.0,319852.0,8089.0,204397.0,1155,124623.0,1367,43122.9,205,159077.0,102,98829.1,2100,763304.0,2408,422186.0,3950,306969.0,3850,262368.0,7422,22501.6,56,98888.1,306.0,117203.0,123.0,85810.2,246.0,76243.2,282.0,75665.1,55.0,359279.0,2102.0,247186.0,1284.0,211611.0,899.0,193482.0,1294.0,88436.3,102.0,66916.1,147.0,287722.0,136.0,179240.0,401.0,89269.3,2191.0,398021.0,14785.0,264516.0,3831.0,230703.0,5799.0,250513.0,6741.0,348415.0,1187.0,215971.0,672.0,949018.0,4604.0,571693.0,5803.0,442032.0,915.0,378324.0,4128.0,343762.0,6628.0,336937.0,4562.0,728523.0,532.0,460224.0,1129.0,354489.0,2849.0,302377.0,852.0,902963.0,675.0,558602.0,3782.0,582022.0,265575.0,800562.0,42968.0,158406.0,830,99961.4,3464,120082.0,318,76970.0,115,566235.0,1923,341913.0,1982,270824.0,3030,249651.0,15759
diracnet18v2,3594103272,46067208,122030.0,545.0,139777.0,165.0,79269.6,123.0,62181.0,173.0,73428.6,79.0,510609.0,2930.0,258168.0,407.0,171996.0,592.0,138576.0,466.0,19832.1,343.0,97201.1,978.0,62462.1,209.0,247680.0,276.0,133488.0,297.0,67063.1,424.0,588227.0,32281.0,298184.0,2618.0,232558.0,19102.0,218880.0,15645.0,19189.5,1055.0,266835.0,184.0,147643.0,507.0,671467.0,4811.0,322861.0,2081.0,225450.0,1291.0,180557.0,1329.0,153149.0,1627.0,146741.0,3084.0,52236.4,196.0,735096.0,1005.0,478978.0,1904.0,332625.0,1659.0,274133.0,1293.0,807649.0,1995.0,524515.0,1856.0,364930.0,1519.0,298758.0,2667.0,104067.0,483.0,97940.5,1133,54766.1,787,15359.0,190,75673.9,94,47396.8,1809,389050.0,3650,204214.0,2749,142958.0,1163,112868.0,3171,6223.26,66,32104.9,40.0,38679.0,163.0,21963.2,185.0,16902.7,44.0,20855.9,33.0,130566.0,740.0,75511.8,338.0,55876.8,380.0,46407.8,439.0,31337.9,43.0,19992.1,207.0,120313.0,70.0,64109.1,120.0,25130.0,93.0,164299.0,8749.0,87081.0,2440.0,63499.6,1757.0,60679.5,7097.0,145939.0,692.0,78871.7,137.0,442606.0,3492.0,236476.0,1902.0,168484.0,1715.0,131384.0,1515.0,111594.0,1133.0,102518.0,2194.0,326211.0,871.0,181385.0,986.0,129040.0,578.0,103703.0,196.0,408241.0,776.0,221674.0,562.0,156032.0,1473.0,124743.0,319.0,64832.7,490,35022.8,778,52976.1,115,29562.4,58,249557.0,987,130915.0,378,94583.3,3127,77973.5,5661
dla46c,1149229800,5228780,64155.1,145.0,72456.1,116.0,47572.0,97.0,40130.1,374.0,46517.5,185.0,243245.0,1324.0,142742.0,532.0,106559.0,792.0,98068.1,12053.0,8571.38,158.0,48873.2,604.0,37748.4,264.0,125357.0,109.0,72892.1,87.0,43684.6,1818.0,299890.0,18331.0,144720.0,4569.0,116174.0,5830.0,124042.0,8710.0,11463.0,947.0,154718.0,228.0,103425.0,301.0,384272.0,1139.0,217621.0,2986.0,170224.0,2325.0,149736.0,4028.0,141032.0,3544.0,148434.0,28501.0,21878.5,226.0,356267.0,563.0,234303.0,1459.0,183514.0,619.0,154651.0,554.0,400294.0,635.0,254200.0,1179.0,201400.0,1428.0,175043.0,697.0,50188.9,412.0,45937.4,986,31112.2,1256,7789.05,209,33803.0,34,21778.8,42,172788.0,9774,88387.6,913,65837.6,2019,55627.2,798,3767.55,38,20451.5,69.0,23579.8,75.0,16300.5,37.0,13936.0,40.0,16011.1,109.0,93284.6,1399.0,59425.3,834.0,47057.7,328.0,42791.9,7438.0,18887.9,96.0,15777.3,83.0,61288.5,211.0,38005.0,280.0,19714.0,611.0,100909.0,299.0,60632.2,96.0,46439.9,2051.0,51370.2,5356.0,76244.1,238.0,46809.2,243.0,206954.0,1378.0,118375.0,1304.0,91354.8,1137.0,75399.3,1272.0,65777.1,960.0,62929.2,2527.0,168681.0,384.0,106452.0,390.0,83872.4,260.0,71916.3,284.0,203532.0,285.0,125096.0,1225.0,97305.9,169.0,83927.0,129.0,34262.8,1027,21403.2,386,25551.5,63,16645.9,32,115798.0,1106,67810.4,699,52936.7,2625,52630.2,19672
efficientnet_edge_large_b,10637625320,42246092,316489.0,335.0,366363.0,1091.0,194344.0,157.0,148814.0,1005.0,197077.0,14981.0,1392910.0,4414.0,688107.0,3777.0,469961.0,4137.0,351722.0,909.0,44251.4,210.0,271290.0,1038.0,159742.0,215.0,735806.0,234.0,385627.0,3618.0,196882.0,2238.0,1605590.0,64986.0,805813.0,11909.0,691332.0,27607.0,624724.0,38026.0,49417.6,1694.0,786713.0,536.0,417976.0,453.0,1836030.0,2834.0,956174.0,6542.0,671816.0,15575.0,501250.0,5101.0,412746.0,5330.0,377711.0,9009.0,149434.0,174.0,1825550.0,461.0,1016160.0,2265.0,743307.0,1081.0,602725.0,2430.0,2161550.0,1658.0,1182310.0,2121.0,857026.0,1574.0,693861.0,1271.0,373783.0,571.0,256828.0,848,143844.0,5201,49864.1,162,214681.0,437,141537.0,4278,1149670.0,10028,568339.0,3536,387353.0,2524,300112.0,5183,20988.1,45,108460.0,41.0,128520.0,448.0,71681.9,287.0,54824.5,89.0,66240.8,42.0,458986.0,1701.0,249891.0,584.0,186760.0,747.0,153164.0,1884.0,98596.3,130.0,64338.6,171.0,377563.0,213.0,202231.0,242.0,97423.8,2921.0,505353.0,5225.0,283540.0,7330.0,220613.0,17606.0,228143.0,18451.0,491277.0,1039.0,259761.0,438.0,1359310.0,1674.0,721548.0,4022.0,520239.0,2738.0,399388.0,1233.0,347895.0,1995.0,325727.0,4280.0,1029620.0,488.0,560222.0,1872.0,405236.0,1264.0,315424.0,574.0,1289480.0,663.0,694541.0,1709.0,502883.0,811.0,395631.0,9854.0,213613.0,1040,112051.0,716,165442.0,279,91175.2,1470,797329.0,1575,412923.0,2684,295033.0,3325,227904.0,5108
efficientnet_edge_medium_b,6353763816,27525868,198082.0,114.0,227828.0,265.0,123365.0,175.0,90650.2,872.0,116319.0,572.0,861442.0,5883.0,429701.0,2639.0,293100.0,2284.0,228930.0,2580.0,28648.7,511.0,167958.0,1274.0,101087.0,291.0,459149.0,133.0,240255.0,332.0,119554.0,743.0,1012900.0,30834.0,501493.0,7983.0,414569.0,10496.0,376545.0,22111.0,32917.2,1308.0,490912.0,411.0,265170.0,422.0,1150790.0,8422.0,609847.0,4388.0,420584.0,4037.0,327101.0,4054.0,268875.0,2610.0,254123.0,4696.0,90821.2,129.0,1139180.0,1118.0,645848.0,724.0,472310.0,1071.0,388999.0,1385.0,1353300.0,490.0,751281.0,1856.0,542938.0,818.0,444540.0,819.0,232287.0,665.0,171345.0,1290,88994.4,1684,31485.5,245,131830.0,123,85921.5,2658,693297.0,3896,343996.0,1864,236992.0,1873,189658.0,4761,13445.4,48,70991.5,38.0,84544.4,412.0,48292.4,161.0,37022.1,239.0,45696.2,128.0,304119.0,3004.0,167271.0,954.0,126858.0,1415.0,104824.0,404.0,64148.1,74.0,41385.1,1443.0,236820.0,150.0,130162.0,223.0,56812.7,2171.0,330190.0,1317.0,185526.0,5655.0,140641.0,7346.0,131351.0,12190.0,312583.0,888.0,169185.0,661.0,853560.0,2817.0,456146.0,1898.0,329010.0,1911.0,256470.0,1305.0,217925.0,1700.0,207628.0,4521.0,654019.0,2051.0,359514.0,2149.0,260418.0,1194.0,206572.0,777.0,816496.0,202.0,443217.0,1444.0,319777.0,660.0,255757.0,743.0,133985.0,356,72871.4,1542,103440.0,230,57233.4,820,495283.0,2391,259225.0,2547,184112.0,1918,148880.0,9473
efficientnet_edge_small_b,4704679400,21698332,145942.0,738.0,168079.0,418.0,90951.5,111.0,66695.8,194.0,85129.5,65.0,646488.0,3401.0,321897.0,1911.0,221317.0,1538.0,175064.0,11241.0,21707.0,326.0,121735.0,1029.0,74531.9,171.0,338921.0,191.0,178985.0,190.0,88120.3,617.0,752496.0,26252.0,377206.0,4351.0,309365.0,6807.0,302666.0,19341.0,24856.5,1092.0,364979.0,439.0,202778.0,11053.0,849912.0,3101.0,447906.0,3719.0,313744.0,2681.0,237830.0,3738.0,200061.0,2595.0,187769.0,6807.0,68605.7,181.0,841465.0,782.0,480129.0,1161.0,347454.0,670.0,289307.0,3101.0,1001750.0,301.0,558667.0,1465.0,401240.0,872.0,329878.0,908.0,174291.0,545.0,119591.0,3525,67947.0,1250,24006.0,288,98135.2,124,63238.6,2376,516070.0,2010,255409.0,2873,177452.0,1820,143635.0,6019,10241.5,108,53546.1,59.0,63656.1,172.0,36689.0,93.0,28276.9,161.0,33582.1,35.0,229287.0,2375.0,128703.0,548.0,97288.5,577.0,98762.5,31767.0,48347.6,693.0,30036.4,104.0,176936.0,64.0,97015.2,172.0,44025.9,1018.0,249729.0,2897.0,142995.0,3844.0,105308.0,5525.0,103997.0,8088.0,232238.0,564.0,125471.0,713.0,638091.0,2872.0,342239.0,1510.0,244915.0,1249.0,191688.0,967.0,166422.0,1150.0,156049.0,2689.0,487062.0,132.0,269402.0,1755.0,194915.0,457.0,154870.0,429.0,606739.0,223.0,333938.0,1091.0,239713.0,677.0,191661.0,386.0,100382.0,447,55851.7,6729,77163.1,308,42678.2,694,369399.0,1518,193311.0,1188,138496.0,2440,110765.0,4928
fbnet_cb,770018536,22259944,36594.5,79.0,42630.5,207.0,24416.0,45.0,18902.2,49.0,23040.5,53.0,191646.0,1182.0,103827.0,1115.0,76737.2,1101.0,59226.7,1758.0,7437.97,147.0,33160.6,584.0,21975.0,484.0,89423.3,80.0,49609.7,151.0,32133.0,1191.0,249705.0,14979.0,129022.0,3915.0,95439.1,4215.0,98793.3,6146.0,12777.2,1143.0,98150.4,392.0,56472.9,222.0,244806.0,2826.0,131884.0,1099.0,95355.5,1045.0,74994.0,803.0,65372.2,535.0,66640.2,3443.0,19799.4,85.0,267352.0,372.0,172020.0,1608.0,133036.0,535.0,109860.0,827.0,309680.0,638.0,190802.0,1928.0,145460.0,765.0,123794.0,887.0,54869.5,724.0,31600.4,792,18811.7,782,8521.43,313,25069.4,60,15819.4,936,120734.0,1073,66316.5,997,49717.7,2763,40975.3,1360,3987.37,75,23941.7,32.0,28787.2,59.0,19412.6,39.0,16664.9,38.0,17388.8,21.0,108165.0,384.0,70477.7,240.0,59103.4,450.0,65515.1,31249.0,20086.6,85.0,14783.0,77.0,55587.2,59.0,34731.5,79.0,19891.3,1203.0,109328.0,197.0,70827.1,539.0,61381.1,2755.0,59564.2,12154.0,69560.0,220.0,42570.6,116.0,190145.0,1125.0,113936.0,1150.0,93038.3,1586.0,75613.5,926.0,69853.7,837.0,74672.9,2698.0,146775.0,286.0,94400.5,842.0,74109.1,670.0,61387.9,209.0,182251.0,186.0,116037.0,994.0,90032.9,531.0,75761.5,1156.0,30082.8,284,18116.3,420,21834.0,155,13611.0,64,101520.0,311,59744.0,325,49106.3,2875,44255.5,9211
