model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,mi8se|gpu|float,mi8se|gpu|kernel,a03s|gpu|float,a03s|gpu|kernel,iphone7|gpu|float,iphone7|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,CONV_2D,"{'Input_shape': '224', 'Input_channel': 3, 'Output_shape': '224', 'Stride': '1', 'Kernel': '1', 'Filter': '64', 'Group': '1', 'FLOPS': '19267584'}",320.4096,convolution_2d_0,343.532,convolution_2d_0,1013.8112,convolution_2d_0,2853.199,convolution_2d_0,426.117,convolution_2d_0,206.988,convolution_2d_0
bagnet9,CONV_2D,"{'Input_shape': '224', 'Input_channel': 64, 'Output_shape': '222', 'Stride': '1', 'Kernel': '3', 'Filter': '64', 'Group': '1', 'FLOPS': '3633610752'}",12167.6928,convolution_2d_1_linked_:_relu_2,4801.931,convolution_winograd_4x4_6x6_1,43372.5824,convolution_2d_1_linked_:_relu_2,56931.382,convolution_winograd_4x4_6x6_1,6553.714,convolution_winograd_4x4_6x6_1,2730.852,convolution_winograd_4x4_6x6_1
bagnet9,CONV_2D,"{'Input_shape': '222', 'Input_channel': 64, 'Output_shape': '222', 'Stride': '1', 'Kernel': '1', 'Filter': '64', 'Group': '1', 'FLOPS': '403734528'}",1206.848,convolution_2d_3_linked_:_relu_4,1053.597,convolution_2d_3_linked_:_relu_4,4789.7088,convolution_2d_3_linked_:_relu_4,13086.863,convolution_2d_3_linked_:_relu_4,2112.941,convolution_2d_3_linked_:_relu_4,662.555,convolution_2d_3_linked_:_relu_4
bagnet9,CONV_2D,"{'Input_shape': '222', 'Input_channel': 64, 'Output_shape': '110', 'Stride': '2', 'Kernel': '3', 'Filter': '64', 'Group': '1', 'FLOPS': '892108800'}",3270.3616,convolution_2d_5_linked_:_relu_6,2548.92,convolution_2d_5_linked_:_relu_6,11306.5856,convolution_2d_5_linked_:_relu_6,25531.383,convolution_2d_5_linked_:_relu_6,4689.543,convolution_2d_5_linked_:_relu_6,2235.461,convolution_2d_5_linked_:_relu_6
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 64, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '396492800'}",1039.3344,convolution_2d_7,1060.194,convolution_2d_7,4107.5712,convolution_2d_7,12971.289,convolution_2d_7,1593.449,convolution_2d_7,640.074,convolution_2d_7
bagnet9,CONV_2D,"{'Input_shape': '222', 'Input_channel': 64, 'Output_shape': '111', 'Stride': '2', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '403734528'}",1335.488,convolution_2d_8,1191.623,convolution_2d_8,4740.7104,convolution_2d_8,13462.438,convolution_2d_8,2151.254,convolution_2d_8,924.11,convolution_2d_8
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 256, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '64', 'Group': '1', 'FLOPS': '396492800'}",1078.8352,convolution_2d_12_linked_:_relu_13,1170.982,convolution_2d_12_linked_:_relu_13,4427.6096,convolution_2d_12_linked_:_relu_13,11593.133,convolution_2d_12_linked_:_relu_13,1748.957,convolution_2d_12_linked_:_relu_13,595.723,convolution_2d_12_linked_:_relu_13
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 64, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '64', 'Group': '1', 'FLOPS': '99123200'}",312.9216,convolution_2d_14_linked_:_relu_15,302.965,convolution_2d_14_linked_:_relu_15,1197.8752,convolution_2d_14_linked_:_relu_15,3370.601,convolution_2d_14_linked_:_relu_15,427.793,convolution_2d_14_linked_:_relu_15,167.367,convolution_2d_14_linked_:_relu_15
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 64, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '396492800'}",1236.0704,convolution_2d_16_linked_:_add_17_linked_:_relu_18,1150.615,convolution_2d_16_linked_:_add_17_linked_:_relu_18,4478.2592,convolution_2d_16_linked_:_add_17_linked_:_relu_18,13010.668,convolution_2d_16_linked_:_add_17_linked_:_relu_18,1986.773,convolution_2d_16_linked_:_add_17_linked_:_relu_18,659.058,convolution_2d_16_linked_:_add_17_linked_:_relu_18
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 256, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '64', 'Group': '1', 'FLOPS': '396492800'}",1078.848,convolution_2d_19_linked_:_relu_20,1166.868,convolution_2d_19_linked_:_relu_20,4424.9088,convolution_2d_19_linked_:_relu_20,11617.258,convolution_2d_19_linked_:_relu_20,1738.207,convolution_2d_19_linked_:_relu_20,618.211,convolution_2d_19_linked_:_relu_20
