model,flops,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,pixel4|gpu|float|mean,pixel4|gpu|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,s10|gpu|float|mean,s10|gpu|float|std,onefusion|1large|float|mean,onefusion|1large|float|std,onefusion|2large|float|mean,onefusion|2large|float|std,onefusion|1small|float|mean,onefusion|1small|float|std,onefusion|2small|float|mean,onefusion|2small|float|std,onefusion|3small|float|mean,onefusion|3small|float|std,onefusion|4small|float|mean,onefusion|4small|float|std,onefusion|gpu|float|mean,onefusion|gpu|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,iphonexs|gpu|float|mean,iphonexs|gpu|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,onefusion|1large|quant|mean,onefusion|1large|quant|std,onefusion|2large|quant|mean,onefusion|2large|quant|std,onefusion|1small|quant|mean,onefusion|1small|quant|std,onefusion|2small|quant|mean,onefusion|2small|quant|std,onefusion|3small|quant|mean,onefusion|3small|quant|std,onefusion|4small|quant|mean,onefusion|4small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
bagnet9,31917027376,62576252,1333381.25,447.6728018318736,1567682.857142857,2736.043620609429,864246.75,1019.281538225169,611991.7058823529,2839.353049027933,796931.9230769231,2427.60852443902,12082540.0,32421.26462678469,5660850.0,32418.47251182572,3573496.0,36286.18723426312,2650704.0,40667.92672364796,250680.76,475.3952730097345,961523.3636363636,9422.60374431155,570476.5,4769.827253452453,2596878.0,1754.222334825321,1491352.857142857,4834.92270372758,985882.9090909091,208024.1112390819,16339420.0,164801.1577629235,6830818.0,348711.2346569867,3962868.0,103094.6319456062,3352218.0,117929.3950463581,318983.3199999999,1246.85999615033,2855042.0,4469.950335294566,1704035.0,46504.64878195871,19011720.0,47230.26148561958,8916952.0,39154.4441411189,5660346.0,48253.12035506098,3837572.0,40794.86310799437,807674.75,2404.187700658998,11876400.0,8647.543003651384,6044256.0,3065.293460665716,4338790.0,2308.237422796884,3342026.0,2828.495006182617,12763020.0,3618.507979817096,6461180.0,9889.186013014418,4642890.0,4244.591853170337,3632378.0,6343.126673810007,1149020.0,5055.22,776332.0,7870.59,750213.0,1261.82,598273.0,14384.8,3820490.0,30187.6,1951070.0,8407.76,1355690.0,14350.2,1160350.0,24525.0,,,1547110.0,657.8319368523066,1818953.333333333,607.3347969246909,918051.0,576.4428537473283,612073.5294117647,766.1644822365695,843658.8333333334,2450.847092786946,3221702.0,4283.323009066676,1640431.428571429,845.1445957675538,1094423.0,700.6575483073026,826323.9230769231,1028.305810659789,935805.7272727273,1469.160990677647,500742.8,9396.289302698167,1985258.333333333,256.2171388143702,1005256.0,234.9978723307937,520540.2,4500.607243472818,3448984.0,17436.17572749254,1759300.0,24468.90339458091,1161251.111111111,15263.31218200794,870701.5833333334,20407.87223703284,2113456.0,2364.856020987324,1066833.0,601.3160566623845,3874304.0,18140.1495032428,1960471.666666667,8736.886204796052,1300688.75,3852.594701950881,989097.8181818182,3325.056604253167,2857474.0,819.0140413936748,1468222.857142857,697.4589447357004,987991.0909090909,531.7650633923106,752840.1428571428,761.209268874472,3593114.0,1991.437671633235,1837845.0,792.4592523699037,1235477.777777778,725.6380759607027,941247.5454545454,402.0871374661249,785210.0,8079.85,427490.0,15158.0,641136.0,706.966,345299.0,4412.12,3277360.0,10047.1,1634830.0,7874.05,1095990.0,6219.54,849872.0,9713.47
bninception,4067246128,45166278,148150.32,400.302757422429,178358.84,633.5068542644192,94210.2,127.4902349201695,67323.6,117.3555282038302,85717.72,86.42847678861406,799890.9230769231,4103.58821336304,413556.8,2794.079111263673,284295.12,2722.8680367583,225671.12,3414.044631459876,49028.68000000002,86.73752590430512,125461.92,1750.883569401461,75861.16,100.2347963533622,322051.12,203.2705231950762,175089.8,210.2411948215668,88146.2,1611.546487073829,1200405.555555556,39914.52676549704,566711.0,19215.93563223561,374640.56,3850.813951153704,328166.64,22642.51149652794,76514.12000000001,513.1195478638482,346633.16,2424.259502281057,187023.96,223.1513351965432,1075081.0,18397.44245812445,526788.5789473684,5924.432083071356,356834.88,2730.258893511749,281272.52,1888.080721155746,142566.84,77.7526951301368,830280.6923076923,1112.283402224409,453623.6086956522,897.6684165165567,335402.6,617.8560350113933,280563.64,940.0146756301201,933104.7272727273,885.314026557715,506182.05,1685.793180523637,375018.44,485.4321851711112,310388.12,1806.004525354242,131781.0,1787.72,91766.8,3915.7,100541.0,462.679,69130.4,2579.65,488645.0,2781.98,261460.0,4153.49,189290.0,4854.53,154972.0,4783.57,14568.627082,117.1421935122716,217413.92,366.2282261104406,255522.2,173.9061816037602,129466.08,112.2186865009567,87842.44,135.5746524981716,119709.12,32.45097225045807,514582.05,1005.499153405909,265039.68,459.1307195124282,180104.84,351.6447844060822,137832.64,943.4835824750741,137491.68,76.42026956246622,74385.28,739.2212940655863,283039.24,146.9210073474859,144894.68,161.6998998144402,76202.28,717.0555080326767,525739.9,2501.986988375439,274726.44,1885.716905158354,195621.36,6813.794078954837,153706.24,11160.2232030726,302645.68,148.4947729719804,155220.16,123.8737034240924,609443.7647058824,5082.832183287209,314668.36,1994.835509609752,216050.04,1260.395223094724,166503.32,1623.444159064303,452817.2608695652,4433.632088611374,235949.56,282.809487818213,162751.44,299.1796891501828,125698.76,268.8977917350754,567450.8888888889,392.5333515750801,295764.0,327.3010846300391,203651.84,277.7998819294206,157768.28,680.7159478078944,113627.0,1038.99,69699.7,4198.15,92814.8,146.826,50963.2,107.454,459654.0,4396.31,234274.0,3073.52,160062.0,4853.98,128309.0,7558.01
diracnet18v2,3590633520,46066522,107305.64,145.9098022752412,128338.8,285.1392642201351,70778.64,454.5712599802147,47737.96,269.9019792443175,62590.24,72.621363248014,756968.7857142857,4368.14374074342,370546.44,4248.449647389033,219252.52,2652.672963182608,173521.6,1524.406559943902,42977.68,80.58273760551945,90134.44,1162.646260218472,53298.88,1136.323556739013,240551.64,240.5551712185793,131458.56,160.3725861860436,61043.2,1342.516145154314,1140012.222222222,56165.19063891952,543961.1578947369,41855.96872139801,295950.08,5222.998195825842,284634.68,17537.48580092369,63468.28000000001,248.4400483013961,255909.04,275.7625761411435,139480.2,225.4174793577463,1022131.0,5844.2286916239,409637.52,5154.420790893968,249065.36,2039.058447028922,203961.04,1979.222483299945,131400.68,83.56653875804597,687678.3333333334,1525.10723848813,346908.2,2250.26604649317,252771.04,279.5667333571718,208859.08,609.8483693509395,748174.7857142857,1548.80932048606,372910.4,936.6961513746068,273919.28,4787.944481883641,224559.28,868.7968010990833,88316.7,2018.61,52564.4,201.734,71051.6,201.151,51192.7,2060.84,346119.0,3133.58,180609.0,2902.35,126762.0,4579.22,104052.0,3396.09,11035.164573,6.241958834537484,177532.0,48.1987551706473,208814.48,130.9717893288474,104838.04,81.6908709709965,70138.04,90.05575162087094,96414.0,25.92141971420547,385345.72,282.3249928716903,194855.64,203.5883847374402,130907.04,260.6896208137179,99476.68,611.8857880356431,110327.88,176.3231850891992,58277.88,1481.660941511249,228619.64,114.3667364227904,115500.92,74.86142932111302,58011.72,364.6473935187252,514857.4,11663.56448689679,258114.52,2711.036039893236,163639.44,5261.408564861695,110657.44,6231.527100671232,244019.28,203.1650599881781,123027.84,206.3020465240226,457074.4545454545,5379.701408808288,232328.52,1112.096223174955,155302.84,641.5527837988079,117522.44,344.2753642071997,338378.28,500.0725963297729,173529.92,221.1960071972367,117820.6,173.6939837760652,89322.36,236.7991351335558,428734.6666666667,1421.253163780315,218567.12,250.7297062575554,148091.52,178.2183200459481,113162.0,221.2882283358064,90369.3,1085.21,51794.5,2779.43,74375.9,117.564,39956.4,53.1887,367469.0,4173.29,185971.0,3119.31,125746.0,2951.35,98189.7,4492.38
dla46c,1149993984,5203266,54758.44,101.4321763544488,65293.04,207.8896784354625,36128.88,72.57179617454703,28591.12,181.9756730994558,33289.2,105.1577862072039,297402.8,2988.808444848883,152427.36,1269.945002903669,105721.04,423.7780060361792,85426.52,454.8676396491621,13702.2,23.33238093294381,40882.68,68.29214888989802,26547.56,153.7993706098955,114506.24,173.8231929289069,65529.8,173.1075965981852,37215.76,1036.350800839175,402834.72,16089.93350270908,201814.44,986.7312533815882,133179.48,2265.055727702963,127520.24,10667.54233468984,20733.83999999999,242.9109927524895,122851.96,256.2457383060253,70272.4,228.0429784053874,395232.84,8812.823559699807,196128.92,2755.56157499701,133807.2,2725.523509346415,106289.84,5208.986586122103,39426.24,55.05052225002048,398663.0,1010.602275873155,214793.28,840.0796876487373,157691.2,508.9236484974932,131012.16,626.9552889959539,443432.5652173913,823.3912285857248,241041.04,910.3310378098728,174882.72,653.4956783330706,145151.24,944.6714256290386,40950.6,414.001,28884.6,175.016,31246.5,32.321,19937.0,44.5107,148771.0,2056.07,88736.6,4747.91,66605.2,3568.61,62875.3,8743.4,4390.443751000001,10.62493109457926,65992.76,71.63199285235613,77298.8,84.98564584681345,40955.32,47.75832492874934,28520.4,41.38212174357424,37582.16,35.03104908506167,169217.44,523.9794713536018,90009.44,125.3638161512324,64133.4,228.8498197508576,51253.44,114.9845485271826,41683.4,256.2288040014237,23960.44,530.6429368228696,85162.56,124.6383825312251,45944.6,141.7002470004904,25237.56,233.112175572191,192096.64,3134.238419520761,97288.44,1800.552872425578,72777.88,5143.55056605843,59653.4,5053.173925366116,91226.72,171.9989581363794,48925.72,189.6779417855434,204604.48,1467.255100383025,110595.24,489.7476313367937,78514.36,524.1780521921917,63226.52,2428.279013952063,150187.68,297.3245660889796,83982.92,169.5188296325809,60469.2,174.950735923002,48820.72,179.8020066628846,187371.28,279.4669955468803,103999.96,223.881125600172,74731.32,225.7353707330776,60117.04,299.7394174945965,32906.1,1198.04,22603.7,1025.14,26984.4,79.1889,15878.3,80.3879,129112.0,1726.47,70491.3,1976.98,50893.1,2583.48,41727.8,2702.42
efficientnet_edge_large_b,10642213712,42033800,401350.2,728.8620171198387,480604.6666666667,1250.965811010621,252673.6,1086.740705044216,180626.48,3617.635140475059,238422.24,1375.821653558338,2687736.0,20488.29382842798,1360721.25,4258.727619547885,895040.9166666666,21840.11111639291,672859.9333333333,7371.912600916778,102104.6,278.7415261492266,321282.12,3900.656183977255,184676.52,211.617980332485,849188.6666666666,1265.316122116876,465755.7272727273,2919.81050415353,247159.32,13179.90730079692,3663244.0,99486.25163307742,1750818.333333333,48569.37938546146,1095373.0,43056.61251190112,906098.1666666666,44191.65404204986,144741.7200000001,428.418457118738,912689.9090909091,798.5627378490633,494100.3333333333,500.4947393599498,3545388.0,35757.16062553065,1777986.666666667,16643.05126939034,1196316.666666667,11732.90340121413,869533.6666666666,18391.6714227452,322811.2799999999,1440.520447060714,2894222.0,9331.378033281044,1581661.428571429,3688.249404998175,1167098.888888889,1568.257663384889,925594.5454545454,8094.089755816068,3186498.0,3655.830411821642,1747110.0,4030.322567735739,1480325.714285714,177534.6649335313,1071068.0,150042.1701922496,355563.0,3654.39,226846.0,2128.67,243234.0,400.625,189054.0,4463.55,1244790.0,11660.8,643286.0,4016.35,445697.0,7088.56,377820.0,7916.41,30623.872925,2028.633915081253,510762.95,192.6054191864808,600706.0,220.3211559626217,303637.04,118.4538661251713,203198.52,158.0172446285531,279416.76,50.1958404651222,1092714.0,725.7024183506625,554054.8421052631,343.3806025784608,372207.72,169.4717722808138,281450.24,839.9091512776844,312655.96,98.26636454046725,162171.68,2347.772505503887,648922.25,254.8498332351818,328541.88,137.8547989734126,169437.28,678.4056320520932,1081081.0,2102.819297990201,555399.5789473684,960.2806780360721,373339.56,977.2694645797545,289485.68,16648.51431382392,687771.6,350.5460121962118,347672.32,121.0321345759051,1297320.0,6781.837877743761,663284.4375,3617.625342831088,441767.5652173913,1679.998779142594,335528.88,1890.89321369558,963182.6363636364,440.2247923147843,496209.0476190476,356.1013066383907,335707.8,261.1885142957094,255971.24,247.6790310058564,1214853.333333333,551.8252541440189,624053.9411764706,244.4370412356271,421765.5833333333,339.1705466608536,321935.4,1053.066797501469,260850.0,1311.78,140475.0,1758.99,216118.0,199.445,117089.0,1180.8,1088710.0,6606.3,548717.0,4911.59,371723.0,6792.37,291112.0,9969.06
efficientnet_edge_medium_b,6357412144,27366194,246783.04,419.1386863557216,297210.32,680.75726775408,158952.28,576.1249531134717,127721.24,834.7375290473049,147183.24,910.2230179467008,1501878.571428571,9405.915203547527,752685.0,7052.352596322531,523875.1,4073.119208911028,394966.48,4051.53832631508,62420.83999999999,85.50368413115308,199299.48,2972.474607057224,116923.52,223.0517643956219,545399.2105263158,256.5615918556642,302062.64,386.3006994557478,463361.5,160355.4102771687,2326552.0,19006.96019883243,1050524.0,20269.27438267093,712967.4666666667,12289.88832532212,765540.0666666667,457978.8016083229,90069.47999999994,307.7079134504019,588668.2941176471,707.8219088664042,319297.2,464.4535714148401,2292288.0,17270.38667777882,1167562.222222222,4662.056717748742,789468.3076923077,6143.964773344219,604488.0,5743.065905942574,195804.84,147.914569938191,1905995.0,998.3778509829499,1046965.0,1688.888687865485,789829.0769230769,2515.694840902684,602955.7058823529,3867.74002661694,2091478.0,3422.229682531551,1141832.222222222,1409.828813704209,860911.3333333334,1038.701620079393,669088.3333333334,4572.67560868057,201225.0,3083.58,134405.0,3497.41,143270.0,173.728,103389.0,3125.66,747745.0,4024.53,410795.0,4911.64,297447.0,5039.41,254357.0,17569.7,19054.270848,313.5742971097463,309792.04,53.83343199165367,364029.96,117.8909597891204,183926.04,122.5389668636063,122773.16,79.95782888498161,169463.8,34.26835274710472,669716.0666666667,698.8748544784125,341105.96,271.7534882940787,228986.68,165.7419005562564,173164.68,1061.944244110772,190077.84,88.9204948254338,97566.08,972.884902545003,393295.88,128.3458826764614,199648.16,81.76878622066002,104319.8,148.3762784275168,663405.625,1578.0750091092,344023.52,598.8652683200121,231280.56,1298.706743803235,181188.16,19160.82293990527,417838.5833333333,206.4925173516518,211917.48,137.7929228951908,807622.3076923077,3106.858378209171,413694.24,1705.112554173478,276506.6,1160.608633433338,209165.6,1196.480137737355,589977.5294117647,441.179050972846,305887.8,273.9781013146854,207901.6,221.1670861588586,157880.2,185.5627117715194,743326.0714285715,313.6823835587552,383884.12,373.2956276197191,260000.72,266.3394105272444,198532.84,534.4711539456549,158580.0,1499.21,86243.2,1530.58,131076.0,208.115,71202.2,243.957,664516.0,4869.44,335093.0,4356.93,227219.0,3642.19,178887.0,6209.97
efficientnet_edge_small_b,4707938864,21578884,182361.28,211.9704734155208,219999.32,551.5105598263735,116965.84,545.3736099225924,94288.92,559.167661439751,110157.32,973.1246053820652,1102823.0,8650.403516599674,559283.0555555555,6547.611731448534,384990.16,2383.216409476907,294937.16,2177.433088386415,46430.92000000003,51.65835460019995,147513.56,2194.790451592133,86205.12,1701.383280040098,407695.68,303.3348934758413,226191.44,306.4899450226712,419549.0,53136.44575524411,1727428.333333333,22895.30040326083,786707.5384615385,20023.45425750429,527178.1052631579,9010.146642271447,418605.4583333333,20516.27827275041,67031.44,262.1892446306675,439547.2608695652,538.8390271356199,239070.92,438.0654672534689,1702975.0,12763.46968239175,846020.4166666666,7819.620349462129,586000.5555555555,4283.838468557301,443160.1304347826,4958.048654586564,145685.88,91.964723671634,1396170.0,1230.375958802837,778816.0769230769,1810.226609764154,593070.4705882353,1142.386517347479,449983.1304347826,5800.568887425558,1544720.0,1822.604102454977,848974.5833333334,1365.668057419355,643391.9375,923.1095864488409,499841.8571428572,4188.547472808777,150543.0,2499.57,100932.0,1569.29,106898.0,49.1798,74728.1,2538.72,562326.0,5071.33,304420.0,3911.39,223756.0,6557.87,183982.0,4639.84,14383.777088,11.11083971795711,231509.52,372.570113669897,271655.36,182.4335232351773,137852.24,129.8994318694274,92309.92,109.159303772056,126935.28,29.72341837676145,501751.05,686.9403522140768,257607.32,348.496165832567,173975.0,955.3640143945134,132369.68,540.7357742927686,141648.64,56.95322993474558,72820.2,494.6585084682158,293113.84,109.189259545067,149733.4,78.0343514101322,78189.52,339.6148547987853,496083.2857142857,978.9548432047383,260051.0,515.2927711505373,176522.48,576.7802437670694,133566.2,3539.283950179754,311358.16,271.9995117642677,158693.12,107.3250464709892,595405.2941176471,4380.865637864761,309064.04,1742.411489401972,207386.2,1110.504606023766,160039.2,505.8456681637197,442918.1739130435,332.4451771964963,230108.12,245.000950202239,157051.6,188.090616459195,120466.48,215.2128472001614,557342.5555555555,744.8383286341198,288918.72,214.6849822414227,197215.76,234.8290067261709,151564.84,1312.711565577145,117778.0,757.346,64453.0,1587.52,97327.5,186.605,52939.2,261.569,501119.0,9169.79,251231.0,5151.92,170482.0,3964.02,133488.0,4789.59
fbnet_cb,775000384,22149429,48470.2,106.3977443369924,57992.48,230.8116322891894,32723.68,101.9273152790752,28131.2,108.3634624769807,30932.92,251.6243104312459,269862.28,2257.658282734569,136718.12,1252.200697013063,105796.84,453.6044691137863,83633.56,450.8276903651771,9455.600000000004,24.78083130163312,41322.04,151.133710336245,27099.76,83.67426366571743,108109.52,422.3294562305595,61256.16,393.2800203417407,40305.64,1223.703914515272,413582.48,20085.1608191122,208767.56,7398.856560739639,152132.92,2724.197818367822,118307.0,5882.846855052407,16412.36,490.8257531955715,119827.24,236.8157562325615,67804.28,371.730065504527,424860.5,12463.62209258074,199439.24,4107.809823056565,150365.8,2025.82014996396,116378.92,1065.030512990121,27176.32,55.09256211141391,482490.8571428572,840.7955578308125,266101.6,929.8873049999123,215443.72,935.042523952788,182657.24,1620.185280268896,526660.4210526316,557.4196487566119,289139.4,654.9934961509159,232146.56,906.7478185250848,199221.16,3853.847393761201,38845.4,1922.1,31616.6,334.3,26983.8,144.99,19218.2,70.6368,128921.0,3502.81,85391.1,1813.58,68207.5,1893.07,61507.6,1530.56,4416.212463,36.8499541098242,45428.72,44.37523633739881,53054.76,31.05515094151049,27378.2,48.44295614431473,18571.04,28.00639926873857,25327.28,29.72072677442461,112819.56,188.0391618785831,60400.4,212.4563013892504,40896.92,99.88750472406446,31741.92,1446.748932468934,29264.4,24.2619042945932,15839.8,179.3080031677337,60374.56,69.35767008774155,31717.36,70.37492735342609,17929.8,46.78974246563023,135059.36,1750.946758299635,71314.64,1241.586110747056,47097.48,1357.37287787844,36215.28,2554.506050413661,64250.08,165.3161625492196,33863.16,92.10110965672455,146203.56,1520.373324680488,76000.32,747.715117942656,52067.32,577.7483687558105,40426.6,330.2445154730053,102817.36,331.2353700920239,56025.04,242.8679443648338,39494.4,176.3952380309628,30674.32,209.5297057698502,127659.2,216.8138371967989,69204.88,258.2357558511214,48490.64,460.5302925975663,37640.52,232.0981033959563,25376.2,307.762,16185.8,1398.76,20551.2,162.401,12709.0,99.0085,103243.0,3398.22,56849.4,2737.89,41165.7,1923.88,34796.1,2546.32
fdmobilenet_w1,291025456,11558581,14689.68,91.58590284536153,17952.24,137.8753872161381,10377.72,63.99282459776253,8366.88,108.5089194490481,10009.32,559.9958371273844,76369.64,577.6693088610473,43712.8,358.0414501143687,31481.88,159.4922744210515,29539.44,8929.600891775623,3613.52,101.9797940770622,11527.48,57.74850301090064,7270.52,46.36129420108978,32152.64,114.8264359805703,18998.0,129.4585647997073,10391.88,251.2511603953303,124132.6,3432.235155113938,61100.2,1076.150398410928,49686.44,613.4126884895682,43067.04,3567.002780823138,5115.52,234.4779094072616,34299.12,118.3490836466426,20688.36,114.2267499318789,128760.72,2965.567379372791,61291.84,642.2403089187101,44304.64,602.2807239153516,35719.88,614.589900340056,9515.119999999999,1327.122188195194,121759.56,654.8131385364835,64901.6,789.1336515445277,52109.12,345.593092523563,45220.24,429.4959166278534,132358.8,1812.687926809245,73011.64,1595.194079226725,57765.28,838.2031982759312,49671.96,765.2354137126691,11483.1,109.932,10086.9,222.967,8412.9,42.9778,5936.4,25.7418,38803.5,1989.21,25082.1,258.111,19567.1,117.922,18749.6,2147.09,1624.266685,1.491136896820734,16873.24,43.95386672410062,19843.28,29.47340496108313,10211.24,22.91773112679351,6916.48,24.93691239909223,9459.76,34.46189780032435,39070.32,196.8123410764681,20450.84,53.30191741391673,13988.2,45.61929416376365,10769.08,74.31926802653535,10600.36,24.96858826605942,5713.04,183.0954898406839,22289.8,58.4116426750695,11677.44,49.99126323668967,6341.04,55.60394230627897,47577.04,1158.897181979489,22504.08,681.1296452218182,16416.72,579.5882345251671,11968.8,340.2489676692642,23809.92,190.9031000272128,12395.6,62.47751595574203,49672.12,269.0057724287715,25859.56,318.8279887337371,18078.76,282.4176028508138,14239.2,315.485657360204,36059.12,123.0425357345987,19342.24,145.1402852415552,13591.96,104.7429157508993,10685.6,157.3058168028125,44876.52,141.0333634286582,23985.52,152.7712328941545,16697.36,149.2535775115625,13078.72,170.321465470445,8904.6,88.7396,5910.0,127.281,7240.36,50.9359,4393.68,42.5701,35019.4,368.935,19586.8,805.193,13963.6,97.7912,11576.0,332.867
fdmobilenet_w3d4,170099632,7302391,8849.32,45.02418905432945,10555.48,105.2958194801674,6294.56,33.01645650278055,5281.0,52.01461333125528,5813.96,118.0506603115798,46468.68,385.8829584213327,25733.32,256.8912174442715,19418.12,243.5521003810067,16137.12,740.6045271263199,2318.12,42.88917812222566,7102.36,33.04527802878953,4738.44,42.83090473011281,19185.92,226.7673556753705,11670.12,84.71048105163847,6743.8,337.6971424220229,74604.08,3422.06725731684,42401.76,1404.439939050439,28833.08,267.9274409238441,26790.84,4239.142948096938,3603.36,460.4037358666847,20677.8,78.63281757637839,12533.64,90.89241112436176,74425.16,996.004766253656,37542.28,1198.187381672833,28634.52,860.5012548509154,21919.04,637.1284002459787,6403.16,38.13042879381243,70485.36,303.7504080655696,43014.52,213.9259909407924,34913.36,444.321314366079,30053.36,270.1771093190539,76939.84,253.0885505114761,46609.2,231.3553111558064,38068.76,484.0353937471928,33079.52,541.3915492506325,7145.2,404.132,6554.0,274.503,5332.4,30.8778,3963.1,35.5681,24266.4,489.413,16634.5,97.0981,13678.4,135.72,12559.4,202.733,886.3541620000001,3.274499898278259,10306.6,41.76026819837248,12123.84,25.75838504254488,6302.32,27.56914217018731,4307.0,27.95567920834691,5799.4,30.0,24613.68,75.48653919739597,13158.24,57.49245515717693,9106.72,58.48659333556709,7078.72,55.64424139118081,6595.96,19.94287842815073,3606.8,146.0057533112994,13762.88,46.89590173991753,7303.4,47.36074323741129,4059.36,164.8322492717975,29779.88,707.2259791608337,14659.8,434.6705419050156,10335.16,776.6218477483105,8679.16,1044.138867392647,14945.56,209.7943907734428,7812.68,55.69827286370736,32581.52,804.1672522553998,17134.76,146.6580458072451,11807.24,217.0226310779592,9797.04,180.0307707032328,23208.0,115.9627526406648,12610.88,163.1736057087665,9002.36,96.75117777060909,7152.08,127.8189093991965,28693.2,125.6108275587738,15576.12,134.2050133191752,10993.16,163.4494857746576,8702.08,188.8588721770836,5529.4,68.8901,3972.48,75.7898,4432.92,30.505,2889.92,93.1811,21644.3,333.449,12418.9,84.8209,9610.24,1509.02,8329.12,1926.83
