model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,onefusion|gpu|float,onefusion|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1123.64,vulkan.addmm,1362.56,vulkan.addmm,2707.0,vulkan.addmm,,metal.linear
bninception,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",566.24,vulkan.addmm,693.88,vulkan.addmm,1357.96,vulkan.addmm,61.575003,metal.linear
diracnet18v2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.84,vulkan.addmm,355.72,vulkan.addmm,688.0,vulkan.addmm,337.064581,metal.linear
efficientnet_edge_small_b,vulkan_prepack::run_linear_context,"{'input_shape': 1280, 'output_shape': 1000, 'flops': 2559000}",706.16,vulkan.addmm,862.0,vulkan.addmm,1704.44,vulkan.addmm,76.814584,metal.linear
efficientnet_edge_medium_b,vulkan_prepack::run_linear_context,"{'input_shape': 1280, 'output_shape': 1000, 'flops': 2559000}",704.8,vulkan.addmm,861.64,vulkan.addmm,1692.04,vulkan.addmm,77.993749,metal.linear
efficientnet_edge_large_b,vulkan_prepack::run_linear_context,"{'input_shape': 1536, 'output_shape': 1000, 'flops': 3071000}",844.48,vulkan.addmm,1139.48,vulkan.addmm,2028.04,vulkan.addmm,202.495832,metal.linear
fbnet_cb,vulkan_prepack::run_linear_context,"{'input_shape': 1984, 'output_shape': 1000, 'flops': 3967000}",1090.0,vulkan.addmm,1326.48,vulkan.addmm,2618.96,vulkan.addmm,150.968751,metal.linear
fdmobilenet_w1,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",565.96,vulkan.addmm,706.6,vulkan.addmm,1354.72,vulkan.addmm,80.550002,metal.linear
fdmobilenet_w3d4,vulkan_prepack::run_linear_context,"{'input_shape': 768, 'output_shape': 1000, 'flops': 1535000}",426.48,vulkan.addmm,521.8,vulkan.addmm,1022.16,vulkan.addmm,61.081245,metal.linear
fdmobilenet_wd2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",283.92,vulkan.addmm,353.88,vulkan.addmm,681.2,vulkan.addmm,378.275005,metal.linear
fdmobilenet_wd4,vulkan_prepack::run_linear_context,"{'input_shape': 256, 'output_shape': 1000, 'flops': 511000}",139.24,vulkan.addmm,187.04,vulkan.addmm,344.16,vulkan.addmm,37.154165,metal.linear
hardnet39ds,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",565.16,vulkan.addmm,689.64,vulkan.addmm,1356.96,vulkan.addmm,62.156253,metal.linear
hardnet68ds,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",565.6,vulkan.addmm,,vulkan.addmm,1354.28,vulkan.addmm,61.785412,metal.linear
hrnet_w18_small_v1,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1121.0,vulkan.addmm,1369.76,vulkan.addmm,2697.56,vulkan.addmm,123.410422,metal.linear
hrnet_w18_small_v2,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1124.36,vulkan.addmm,1364.36,vulkan.addmm,2710.0,vulkan.addmm,123.9,metal.linear
mnasnet_b1,vulkan_prepack::run_linear_context,"{'input_shape': 1280, 'output_shape': 1000, 'flops': 2559000}",705.76,vulkan.addmm,855.24,vulkan.addmm,1700.56,vulkan.addmm,92.75417,metal.linear
mnasnet_a1,vulkan_prepack::run_linear_context,"{'input_shape': 1280, 'output_shape': 1000, 'flops': 2559000}",705.68,vulkan.addmm,864.92,vulkan.addmm,1700.44,vulkan.addmm,92.843745,metal.linear
mobilenet_w1,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",564.4,vulkan.addmm,695.88,vulkan.addmm,1356.36,vulkan.addmm,74.535416,metal.linear
mobilenet_w3d4,vulkan_prepack::run_linear_context,"{'input_shape': 768, 'output_shape': 1000, 'flops': 1535000}",425.64,vulkan.addmm,520.84,vulkan.addmm,1020.64,vulkan.addmm,58.412499,metal.linear
mobilenet_wd2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.64,vulkan.addmm,354.0,vulkan.addmm,681.16,vulkan.addmm,375.068752,metal.linear
mobilenet_wd4,vulkan_prepack::run_linear_context,"{'input_shape': 256, 'output_shape': 1000, 'flops': 511000}",144.92,vulkan.addmm,183.08,vulkan.addmm,345.68,vulkan.addmm,37.337496,metal.linear
mobilenetb_w1,vulkan_prepack::run_linear_context,"{'input_shape': 1024, 'output_shape': 1000, 'flops': 2047000}",566.2,vulkan.addmm,698.72,vulkan.addmm,1359.56,vulkan.addmm,75.454172,metal.linear
mobilenetb_w3d4,vulkan_prepack::run_linear_context,"{'input_shape': 768, 'output_shape': 1000, 'flops': 1535000}",424.36,vulkan.addmm,533.36,vulkan.addmm,1028.64,vulkan.addmm,62.806252,metal.linear
mobilenetb_wd2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.2,vulkan.addmm,355.16,vulkan.addmm,681.2,vulkan.addmm,380.885415,metal.linear
mobilenetb_wd4,vulkan_prepack::run_linear_context,"{'input_shape': 256, 'output_shape': 1000, 'flops': 511000}",145.24,vulkan.addmm,185.32,vulkan.addmm,344.44,vulkan.addmm,37.016667,metal.linear
peleenet,vulkan_prepack::run_linear_context,"{'input_shape': 704, 'output_shape': 1000, 'flops': 1407000}",390.2,vulkan.addmm,531.6,vulkan.addmm,938.32,vulkan.addmm,77.712501,metal.linear
preresnet10,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.48,vulkan.addmm,360.88,vulkan.addmm,685.96,vulkan.addmm,378.052087,metal.linear
preresnet12,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.08,vulkan.addmm,354.6,vulkan.addmm,686.36,vulkan.addmm,337.125,metal.linear
preresnet14,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.32,vulkan.addmm,355.84,vulkan.addmm,688.16,vulkan.addmm,336.664583,metal.linear
preresnetbc14b,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1122.48,vulkan.addmm,,vulkan.addmm,2707.04,vulkan.addmm,125.412503,metal.linear
preresnet16,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",287.24,vulkan.addmm,358.48,vulkan.addmm,683.6,vulkan.addmm,336.731249,metal.linear
preresnet18_wd4,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.68,vulkan.addmm,355.68,vulkan.addmm,685.2,vulkan.addmm,376.718747,metal.linear
preresnet18_wd2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.68,vulkan.addmm,357.96,vulkan.addmm,683.8,vulkan.addmm,378.622918,metal.linear
preresnet18_w3d4,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.04,vulkan.addmm,360.2,vulkan.addmm,683.68,vulkan.addmm,336.93125,metal.linear
preresnet18,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.68,vulkan.addmm,354.16,vulkan.addmm,687.0,vulkan.addmm,337.052083,metal.linear
preresnetbc26b,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1123.64,vulkan.addmm,,vulkan.addmm,2707.68,vulkan.addmm,124.627084,metal.linear
proxylessnas_cpu,vulkan_prepack::run_linear_context,"{'input_shape': 1432, 'output_shape': 1000, 'flops': 2863000}",787.52,vulkan.addmm,957.04,vulkan.addmm,1886.72,vulkan.addmm,189.300004,metal.linear
proxylessnas_gpu,vulkan_prepack::run_linear_context,"{'input_shape': 1728, 'output_shape': 1000, 'flops': 3455000}",947.08,vulkan.addmm,1157.88,vulkan.addmm,2295.0,vulkan.addmm,227.954169,metal.linear
proxylessnas_mobile,vulkan_prepack::run_linear_context,"{'input_shape': 1280, 'output_shape': 1000, 'flops': 2559000}",705.0,vulkan.addmm,864.68,vulkan.addmm,1696.0,vulkan.addmm,77.120832,metal.linear
proxylessnas_mobile14,vulkan_prepack::run_linear_context,"{'input_shape': 1792, 'output_shape': 1000, 'flops': 3583000}",984.4,vulkan.addmm,,vulkan.addmm,2376.84,vulkan.addmm,108.033331,metal.linear
regnetx002,vulkan_prepack::run_linear_context,"{'input_shape': 368, 'output_shape': 1000, 'flops': 735000}",207.56,vulkan.addmm,261.0,vulkan.addmm,493.48,vulkan.addmm,54.956251,metal.linear
regnetx004,vulkan_prepack::run_linear_context,"{'input_shape': 384, 'output_shape': 1000, 'flops': 767000}",216.08,vulkan.addmm,271.0,vulkan.addmm,518.88,vulkan.addmm,287.904165,metal.linear
regnetx006,vulkan_prepack::run_linear_context,"{'input_shape': 528, 'output_shape': 1000, 'flops': 1055000}",293.64,vulkan.addmm,359.52,vulkan.addmm,709.64,vulkan.addmm,347.524998,metal.linear
regnetx008,vulkan_prepack::run_linear_context,"{'input_shape': 672, 'output_shape': 1000, 'flops': 1343000}",373.44,vulkan.addmm,463.96,vulkan.addmm,896.76,vulkan.addmm,489.008334,metal.linear
regnetx016,vulkan_prepack::run_linear_context,"{'input_shape': 912, 'output_shape': 1000, 'flops': 1823000}",504.44,vulkan.addmm,626.6,vulkan.addmm,1218.32,vulkan.addmm,56.268746,metal.linear
regnety002,vulkan_prepack::run_linear_context,"{'input_shape': 368, 'output_shape': 1000, 'flops': 735000}",208.04,vulkan.addmm,260.64,vulkan.addmm,494.2,vulkan.addmm,56.697917,metal.linear
regnety004,vulkan_prepack::run_linear_context,"{'input_shape': 440, 'output_shape': 1000, 'flops': 879000}",246.64,vulkan.addmm,308.72,vulkan.addmm,592.0,vulkan.addmm,234.881247,metal.linear
regnety006,vulkan_prepack::run_linear_context,"{'input_shape': 608, 'output_shape': 1000, 'flops': 1215000}",338.28,vulkan.addmm,418.52,vulkan.addmm,813.44,vulkan.addmm,398.168748,metal.linear
regnety008,vulkan_prepack::run_linear_context,"{'input_shape': 768, 'output_shape': 1000, 'flops': 1535000}",426.36,vulkan.addmm,524.96,vulkan.addmm,1027.92,vulkan.addmm,46.706252,metal.linear
regnety016,vulkan_prepack::run_linear_context,"{'input_shape': 888, 'output_shape': 1000, 'flops': 1775000}",492.52,vulkan.addmm,,vulkan.addmm,1186.04,vulkan.addmm,55.145833,metal.linear
resnet10,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.84,vulkan.addmm,384.28,vulkan.addmm,690.24,vulkan.addmm,380.150002,metal.linear
resnet12,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.32,vulkan.addmm,358.52,vulkan.addmm,686.56,vulkan.addmm,376.154162,metal.linear
resnet14,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",284.84,vulkan.addmm,356.4,vulkan.addmm,687.04,vulkan.addmm,337.145833,metal.linear
resnetbc14b,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1122.96,vulkan.addmm,,vulkan.addmm,2709.2,vulkan.addmm,215.595833,metal.linear
resnet16,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.68,vulkan.addmm,356.0,vulkan.addmm,686.68,vulkan.addmm,336.431246,metal.linear
resnet18_wd4,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.08,vulkan.addmm,356.44,vulkan.addmm,689.8,vulkan.addmm,380.983338,metal.linear
resnet18_wd2,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.04,vulkan.addmm,358.52,vulkan.addmm,687.76,vulkan.addmm,375.093753,metal.linear
resnet18_w3d4,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.76,vulkan.addmm,355.8,vulkan.addmm,688.72,vulkan.addmm,336.556253,metal.linear
resnet18,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.32,vulkan.addmm,357.04,vulkan.addmm,690.0,vulkan.addmm,337.314582,metal.linear
resnetbc26b,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1123.24,vulkan.addmm,1367.88,vulkan.addmm,2718.52,vulkan.addmm,124.560413,metal.linear
resnext14_16x4d,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1122.48,vulkan.addmm,,vulkan.addmm,2696.88,vulkan.addmm,124.275003,metal.linear
resnext14_32x4d,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1123.8,vulkan.addmm,1366.0,vulkan.addmm,2698.84,vulkan.addmm,122.879166,metal.linear
resnext26_16x4d,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1123.32,vulkan.addmm,1363.32,vulkan.addmm,2699.84,vulkan.addmm,134.150003,metal.linear
resnext26_32x4d,vulkan_prepack::run_linear_context,"{'input_shape': 2048, 'output_shape': 1000, 'flops': 4095000}",1124.08,vulkan.addmm,1369.24,vulkan.addmm,2701.6,vulkan.addmm,123.4125,metal.linear
sepreresnet10,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",286.36,vulkan.addmm,358.16,vulkan.addmm,684.72,vulkan.addmm,336.937502,metal.linear
sepreresnet12,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.72,vulkan.addmm,359.76,vulkan.addmm,687.92,vulkan.addmm,337.179168,metal.linear
sepreresnet14,vulkan_prepack::run_linear_context,"{'input_shape': 512, 'output_shape': 1000, 'flops': 1023000}",285.56,vulkan.addmm,357.6,vulkan.addmm,684.64,vulkan.addmm,377.222913,metal.linear
