model,flops,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,pixel4|gpu|float|mean,pixel4|gpu|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,s10|gpu|float|mean,s10|gpu|float|std,onefusion|1large|float|mean,onefusion|1large|float|std,onefusion|2large|float|mean,onefusion|2large|float|std,onefusion|1small|float|mean,onefusion|1small|float|std,onefusion|2small|float|mean,onefusion|2small|float|std,onefusion|3small|float|mean,onefusion|3small|float|std,onefusion|4small|float|mean,onefusion|4small|float|std,onefusion|gpu|float|mean,onefusion|gpu|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,iphonexs|gpu|float|mean,iphonexs|gpu|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,onefusion|1large|quant|mean,onefusion|1large|quant|std,onefusion|2large|quant|mean,onefusion|2large|quant|std,onefusion|1small|quant|mean,onefusion|1small|quant|std,onefusion|2small|quant|mean,onefusion|2small|quant|std,onefusion|3small|quant|mean,onefusion|3small|quant|std,onefusion|4small|quant|mean,onefusion|4small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
NAS0,2442795920,26498915,76853.76,518.0326074679084,92383.2,410.2681074614501,48643.04,396.2156463341648,33930.44,282.0896424897589,43617.56,86.18820336913862,479761.2857142857,2565.455072280775,242475.4,2984.662312557318,148784.28,2516.024205288971,168935.56,20024.77332721647,28266.36,291.720068558884,63687.32,799.6149433321016,39091.04,851.5768658201091,174111.44,189.1938857362996,92996.24,120.1117080055063,47107.32,1242.531986550045,732439.3571428572,33285.48932580327,326106.76,29061.34918723493,209834.4,3987.616972578986,181092.88,12852.36421930222,38251.39999999999,159.9272334532177,187017.08,481.9936862657021,99860.88,162.0837610619892,630421.5,13234.44823651519,288953.88,3822.552156033976,185913.48,1555.867375324774,147724.0,865.1458605345113,86528.04,67.30555994864021,602494.9411764706,1657.409121653369,338373.92,957.9424166410004,255438.96,1321.79116293006,200695.16,934.1768432154588,649493.375,1521.538484355555,362326.6,974.2913321999739,264270.4,1049.297936717689,217438.48,4326.26338652653,65280.4,2206.99,39547.2,857.766,51042.9,68.1167,31463.1,1369.98,253452.0,7047.12,136405.0,3732.38,99775.8,4752.04,76880.6,3264.87,9572.216683999999,21.4122478201951,122311.96,181.2440299706448,143943.68,539.7471793349179,73213.36,1061.274022295844,48440.4,72.12322788117571,66722.24,30.49889178314517,269136.32,372.7340843013957,136535.24,129.6244668262902,91352.32,184.2080823416823,69691.9,972.1307988125876,75796.32,188.8601006035949,38501.8,94.99684205277563,157014.8,91.86816641252835,79513.2,54.67577159949369,40563.32,240.6002028261822,344178.8,5730.130679138129,171998.88,3172.825281291108,107534.68,1035.443855358657,79251.88,2241.777586113306,166486.6,265.3026950485049,84550.84,101.9249449349864,335280.16,1500.896017184402,166615.12,1411.761802004857,110990.88,570.7313427524372,84142.04,594.0174731436778,245643.88,367.6368120849706,125183.16,341.7952229040073,85030.12,231.3439551836183,64283.56,155.6450012046645,308748.64,319.3955391047282,156252.32,357.9471156469905,106231.04,317.0926022473561,80856.0,466.797257918253,65806.1,1372.64,35110.2,984.965,51729.1,137.135,28052.0,132.568,256121.0,1810.26,130381.0,3258.12,88447.6,2775.19,69786.2,3057.58
NAS1,826848452,16684898,138513.0,832.3288292495942,156878.4,954.4728387963694,81226.72,297.8001370046696,66348.96,512.5278903630514,75789.0,415.8279451888725,717079.2142857143,3969.477496716511,350162.6,2002.258384924383,244266.68,877.18913445163,241734.7142857143,18297.34506669741,13142.0,1090.675607135321,108563.28,1719.589474729361,66336.12,659.7124415986104,228633.6,413.5587020000909,129385.76,413.4389705869538,85202.2,1095.501857597695,1327231.25,52974.31581377432,464914.7272727273,8438.006616073051,295423.84,11959.31811995985,205033.84,6418.063113930868,17869.84,257.9863066133549,277506.72,1700.83766468173,152161.52,842.9866010797562,982085.3636363636,18735.26349026313,422622.0833333333,7978.150140209335,275727.24,2243.190144058234,213519.2,1600.013774940704,35581.88,45.4274982802267,1222955.555555556,1298.812372995774,646292.4375,1738.39487634247,464458.0909090909,5703.464656035367,346393.24,2668.578996844575,1376123.75,5010.094653546977,721568.0,921.0380013875649,509257.35,3998.200035953679,420451.5416666667,4408.245465215977,151843.0,4825.03,93361.2,1966.4,78336.9,655.229,46530.7,1090.27,390374.0,9606.23,227779.0,10734.9,156197.0,3764.3,124068.0,4391.66,5018.272908,32.2624079860834,180841.16,789.48513247559,205243.56,516.691790528938,103718.96,798.9874832561521,70573.84,389.7132976946001,99122.96,203.1258683673746,690331.8666666667,14297.17288541883,341937.96,4277.205157389578,226763.72,485.1824827835399,168638.16,1690.085173711668,110104.88,6139.221874602677,65390.84,3687.456279659462,241073.56,5208.960979542849,123353.68,1351.803823637143,74068.64,890.8048890750432,986854.9090909091,34464.47868709976,404383.64,13225.67461229861,249615.64,5958.283966915307,186379.44,9372.756726086514,278880.24,2302.084329993148,143173.12,841.4618384692201,984181.7272727273,26628.23477265134,423889.875,7919.184271504336,266041.04,2396.057402985162,199142.76,1981.973668442646,948163.0,20162.58351501613,460284.3636363636,12458.87939490785,301836.96,6946.948029055638,219114.12,3150.61610889045,1148753.333333333,23821.53647437545,556323.1111111111,11710.91843295008,361341.08,6215.251460206578,273936.96,4824.734541754603,93014.3,1813.08,49424.0,914.998,71510.8,167.94,38908.5,107.9,338437.0,3882.13,176880.0,5467.67,121006.0,5382.24,95427.8,5239.18
NAS2,1916228872,35335753,126193.96,372.7402827707249,150039.24,1195.8639481145,89596.6,1306.829017125041,85293.12,1089.653167572141,79421.0,1046.201051423674,832681.9230769231,4881.523366603731,371507.16,6006.691506511717,248547.32,2157.355653943039,237072.8837209302,25390.34329545187,26840.6,540.4984751134826,83264.84,1049.191333551702,52868.6,548.4762893690119,222047.36,250.8084336700024,124226.48,298.510987402474,76057.96,3237.906341820281,1263676.25,40767.03507047698,518058.25,13964.15707400558,371899.76,14265.09060407259,294957.56,46343.3616770126,34625.36000000001,445.0406794889653,250105.8,315.6650123152707,136906.48,1790.957199265242,1395673.75,7424.058757681003,601078.2352941176,8297.390933153496,413343.24,7277.776491649081,257274.36,3998.319995998319,82844.40000000001,69.81995130333449,1052631.0,1313.708110654722,538265.7368421053,1144.633650521343,456695.8181818182,1713.574961523519,311923.04,2165.8353673352,1130058.888888889,627.1353645203711,576904.0,1151.178333515514,487066.1904761905,2744.663525549302,341653.84,3279.443326907785,80012.1,1654.34,50540.6,625.807,56477.9,100.617,35797.9,1161.48,279312.0,2303.06,153437.0,2432.02,118196.0,3085.55,92169.3,4519.41,10404.250025,7.072066804023716,126435.0,96.26255762236946,148391.72,307.0075595160484,75951.08,177.6344381025256,51917.52,73.74720062483728,70360.2,65.7863207665545,359952.56,520.3576523892006,183207.84,1241.131215625487,124536.12,1509.401214256832,95213.6,2873.372791685757,80786.64,59.96591031577858,43297.8,915.8445719662262,168774.2,263.9922726141809,87319.28,129.8868800148806,68532.24,36071.93724465599,548032.8421052631,24880.05403671395,236966.84,7013.355982295495,172025.72,5982.150620103108,123002.08,5646.355531986983,189947.88,223.5920070127731,98135.64,2480.395998706658,487881.3809523809,9067.350725995362,239936.36,2272.561301791439,163347.0,728.8165201201191,122095.32,390.0827317377687,522054.45,15496.28429164553,295760.56,957.9591673970244,221565.68,323.8783376516558,169351.44,285.7659293897717,589338.1764705882,18172.46008544505,343948.4,1201.260704426812,251678.04,694.3614897155516,193343.48,463.3642299530683,68238.6,1321.72,36922.4,692.696,53978.2,141.925,29494.6,113.39,269562.0,3428.86,141945.0,3140.48,101548.0,3151.78,80611.8,3882.76
NAS3,1895136568,27775414,102226.24,224.4324896266135,119978.08,176.209629702806,67209.56,128.4613809671996,58439.36,557.6167773659613,63175.8,272.9467347304232,710945.4,4894.135549137695,325884.8,6237.078841893855,195588.92,606.8367108209588,231717.2954545454,33400.153170974,27801.0,344.0603760969868,79009.84,939.9364097639797,50441.68,693.8251491550302,212004.8,325.9072260628782,124165.36,376.1795188470526,232329.96,7252.866889609929,1037071.3,33024.71182629759,432216.5,2655.062067698857,259060.8,1350.395023687513,218217.8,11245.49867635936,34300.4,352.2156157810156,230806.32,717.4184118072243,131076.84,293.1144049684355,1039527.0,12773.17975290413,417461.5416666667,3796.002886580904,251733.24,4174.604434242842,190349.68,1243.715263876744,88405.71999999997,74.86023243351572,1050571.0,1698.225250077268,555713.5,957.0801226183266,393579.36,1540.098383350882,313248.16,1929.765264067109,1126918.888888889,1608.763807292519,595012.5294117647,1239.356717278911,417794.375,1423.756089027073,340745.36,3174.673789604217,82603.2,1774.86,56391.6,3118.75,55499.5,217.921,33772.4,1164.87,279663.0,3645.78,152021.0,2046.59,120363.0,2211.76,97301.3,3310.39,11526.220829,32.70033256129479,113662.56,117.2017337755718,133355.72,462.596802410047,68127.44,45.79351919213023,45505.52,50.03608298018541,63150.48,27.71009924197313,301390.64,903.29821786606,154622.96,260.8497621237175,102657.04,564.2273641006789,77202.44,242.8192875370488,72513.08,244.4382817809027,37612.12,1078.414848562463,150753.2,182.1463148131194,77301.36,92.31419392487811,42205.2,46.67333285721087,411332.28,23027.53125373191,183788.04,5924.768859491482,119730.92,1887.566346807444,89322.56,5911.954283179125,160000.4,115.0996090349572,81604.24,233.5649425748651,397854.92,6651.843930339917,197825.04,1397.002805437412,125007.84,1327.148572843297,95652.28,1471.537169629092,288653.0,415.4531020464283,151150.84,164.0082144284243,99815.92,181.4481567831429,77264.88,209.7103373703833,357542.76,537.2093282883311,185393.92,275.665873114537,123907.16,282.9084205180185,96200.88,584.8192418175038,60694.4,387.266,33180.6,721.58,49151.7,171.752,26945.4,87.2793,244796.0,2904.76,125686.0,2896.33,86489.9,3317.31,68398.5,3222.17
NAS4,1809639088,40568548,97382.28,131.6320690409446,118499.0,486.8199667228122,62200.84,297.2035908262213,45836.88,209.1903095269951,57467.96,185.9788116963865,624620.5882352941,3043.039909247553,314931.8,2793.561984277421,200928.28,1601.844125250644,223727.6444444444,28265.44159464428,33431.84,426.2472221610365,90367.96,1220.029490791104,56185.68,1843.218960839976,200804.88,218.3623264210198,107095.88,312.8486304908494,60625.84,1310.295590468044,865575.3333333334,21765.73285133206,424703.25,22121.66225906559,266466.44,5331.196556721577,211529.0,11639.74231329886,33624.28000000001,225.7565626953068,217219.0,475.3653752641225,118944.28,2262.406692352195,936134.0909090909,6937.869891263396,401826.44,4780.508986122712,255903.16,2165.684440171282,194927.32,1640.433862610743,107652.56,324.1242872726448,732549.8571428572,10806.91335513088,404741.8,8390.159016371501,316640.0,961.5628112609181,248214.0,901.4694226650175,825616.1538461539,9523.01417091292,451605.7391304348,7674.802698029845,346779.6,1376.351292366887,272156.72,1252.756784695257,91817.8,2041.95,56234.8,2367.14,62672.7,197.864,38646.6,1529.96,297070.0,3743.8,158058.0,5066.74,115058.0,7552.7,93881.7,3688.75,8652.039580999999,4.890912965095591,146191.44,318.6463971238338,170861.84,293.389935751041,89239.84,1869.579132960143,58696.4,85.22675636207212,81853.4,131.5054371499521,428339.7083333333,1408.663062362284,218447.84,737.8771540032934,146393.12,429.3459509533076,110999.68,679.6678141562979,91687.4,158.8070527401098,48939.04,1238.581591337446,191684.28,322.318912879775,98355.64,127.266611489424,54447.72,413.9986009638197,591455.8235294118,43163.0735102496,253171.44,7404.834691362124,166151.16,3218.473124697486,124645.88,4647.167613245728,206031.0,581.9685902177196,105682.6,120.1705454760025,561237.9444444445,6885.044246385884,272057.6,2357.426902366221,177139.36,1783.031774927189,134841.2,1729.359488365562,443870.8260869565,4829.562106823692,228030.0,6746.194927512842,162297.48,8288.19550503003,128905.48,9079.362409861169,545288.7894736842,6420.999869498497,283225.16,6975.507325951281,198692.6,9191.988429061472,157110.32,7511.213684724992,79805.0,1241.54,42112.7,679.343,62847.1,243.313,34264.1,423.621,307820.0,2853.83,157525.0,2827.03,108512.0,3573.19,87092.3,3823.4
NAS5,531646352,13148600,23386.0,73.61738925009499,29720.92,105.3006818591409,15960.0,70.80112993448621,11513.28,55.16268303844547,14511.44,79.82234273685533,144711.96,1926.202366938635,73428.52,492.3322552910788,48554.04,513.8081727648948,63119.82,16896.14813463708,7992.320000000002,1258.447821087549,21321.72,62.32336319551441,13490.8,99.80661300735538,53143.08,111.0376224529326,29189.56,89.00475492916094,16280.92,572.5556685598353,240384.12,11119.17074361213,111785.28,1525.787967445018,69246.08,3192.992163097179,61054.96,1182.702852960117,10613.04,336.646530354911,59259.32,206.4966285439062,32570.12,145.2006391170507,258089.96,7043.576923580802,105642.16,1934.117900852996,64457.96,722.8743448207302,47949.08,555.8517010858202,22409.24,60.65698970440258,199770.36,437.4641361300375,109354.24,365.9922709566419,85473.88,464.3582513534135,76015.68,346.4032009089985,224638.96,760.039655807511,122159.92,712.5213215055393,94121.12,806.4118213419245,85644.52,847.552765083095,21833.2,117.946,13739.8,150.871,15861.0,38.6833,9636.8,57.2762,73458.1,561.511,42891.8,2783.4,30092.8,352.113,25659.7,440.154,2654.504167,2.460697472438087,35011.92,68.14861407248134,40992.84,61.43268185583305,21164.24,34.17283131377908,14440.68,35.85048953640661,19505.04,38.99485094214364,94329.64,691.4847723558344,49002.6,409.0724141273767,33546.52,226.7901444066739,25945.7,329.4301291624675,22491.72,35.39098190217389,12361.32,370.5843731189971,46699.16,134.0479555979874,24373.0,51.96537308631586,13575.92,367.5779014032263,133785.48,7168.13548488029,62331.72,3110.692058304711,40198.48,1880.56413067994,30818.04,2480.746621160654,50126.24,91.62064396193688,26200.56,84.6484872871335,123439.16,3017.800400026483,61500.72,844.4782303884452,41647.72,498.8753367325348,31152.16,612.8418184164655,91091.36,374.169788197818,48649.32,254.3804583689557,33873.64,167.027873123021,26570.8,150.001866655052,112341.6,364.9851503828615,60035.48,336.0745298293222,41591.44,209.0420206561351,32553.6,214.5417441897963,20009.4,604.614,12501.8,1186.04,15356.6,39.0406,8984.4,87.1766,76257.4,1459.03,40543.8,1581.61,28877.2,1996.62,23297.3,2183.61
NAS6,2352117588,22780599,104257.68,249.1256261407084,123320.6,410.018731279438,64996.8,130.3834345306182,51213.92,773.2355356552104,61536.4,237.1310186373769,752538.3571428572,4577.347073315705,320313.88,4559.848579240323,203467.64,1957.571819985157,220838.3260869565,22896.38753740931,26666.23999999999,337.8380108868746,82689.52,1226.745747740745,52470.16,661.7553433105018,220056.32,260.956965034467,122148.52,553.6645280311897,67366.16,950.6868960914525,1024295.1,61586.77685745537,442120.7391304348,8082.378181103744,261545.24,4730.668572453581,227963.16,18402.17766391793,37467.72,426.4956628149927,243957.96,631.5864140400741,132918.56,269.2306193582,1012393.2,21215.38982814127,410835.92,6639.174273477086,259040.28,4597.97949121133,205269.52,2230.879147242181,82176.0,71.64691200603136,1041572.0,1693.539488763105,579414.5555555555,1526.754627095666,407611.84,828.4863151555371,308923.36,2135.466447968687,1117912.222222222,2323.946728103234,619243.7647058824,1134.711911062569,434306.8333333333,936.0793977483369,345927.72,3861.565542833632,78888.7,939.463,51712.3,1513.98,58565.9,95.4594,35884.8,1215.69,292930.0,5299.16,163136.0,2249.76,116943.0,3019.85,99783.9,3655.34,12017.168759,74.71972570914718,118895.08,97.1551007410316,139839.68,480.1063815447573,70703.24,163.6660697884568,47209.04,73.49311804516121,65213.72,42.06140273457365,284383.0,1003.730840414899,144720.96,842.9233644881365,96693.2,402.8793367746725,72588.32,433.6552750745689,75816.64,128.113662034929,38794.12,210.171229239399,156527.04,224.3107630052557,79307.8,116.8814784300746,41131.08,94.92393586445941,383512.88,15335.07139160428,167729.92,5516.153144502063,106601.44,2704.810205245462,80395.04,8706.622856102127,165452.16,346.9942570129944,83878.6,167.3088162650134,371450.84,5888.931656455184,186141.64,2412.58818499967,122634.88,1353.697169089158,91478.64,905.1055134071386,259342.6,1047.854111983152,133631.32,381.7651340811521,90630.6,271.3750172731454,68471.44,205.9664205641298,323243.72,838.0923347698629,166377.0,394.7252208815647,112517.96,288.8346904372811,87742.08,6671.765786776391,63481.0,603.079,35326.0,930.483,51289.0,102.125,27805.6,123.967,260536.0,3594.27,130970.0,3900.98,89031.8,2801.22,71067.4,5100.53
NAS7,429388400,9388571,30687.24,97.42577892939835,37046.16,98.81403948832371,21818.36,77.81716006126155,18017.56,70.92422999229531,20270.76,62.84411189602412,162146.52,3038.260043116783,79573.2,2007.158229936046,54962.72,480.5827728914136,73576.06,18701.83000394347,9922.719999999998,1101.70935840629,23006.36,88.52790746425671,14395.24,193.8810521943803,61942.6,261.0990616605123,35337.04,180.0147727271293,132365.32,4305.153095721453,266326.76,9338.500330481334,131669.6,783.5287359120914,93839.84,1118.776069819157,70509.92,3701.022474073888,10358.28,231.458160365972,68008.4,304.5068143736688,42214.88,592.6533097857465,255694.68,5677.256095826575,126790.0,3694.131519044767,83113.04,1264.396598540189,64727.04,688.9143621670258,27825.88,49.79918071615235,322783.96,628.886602178803,176747.92,920.0453432304301,131498.56,1178.649874390185,107773.24,1565.225409453859,351039.2,729.6854116672472,192065.32,802.6759605220527,142121.64,683.2503424075248,121816.4,1052.683846176049,22135.4,387.812,15319.5,201.151,15845.3,43.9068,10065.7,66.0061,75632.5,810.257,46751.0,1697.08,35257.1,1089.44,31973.6,3035.96,3633.635420999999,4.076201344290142,27446.64,90.77086757324732,32316.72,72.13294392994091,16874.92,31.37249750976163,11497.32,31.52360385488943,15743.32,29.73041540241239,71590.12,293.2263726201994,39572.88,402.0332642953814,26738.4,609.1255371432067,20219.84,484.456287398564,18120.04,37.45448437770836,10314.48,112.8209625911781,36731.0,121.7502361394014,19558.08,75.0801811398987,11383.8,78.48974455303062,83166.48,560.0720039423503,43804.44,1341.203640913639,29602.8,787.8827323910583,23271.16,1534.041764229384,39182.4,164.0741295878177,20731.84,367.0491716378065,101851.16,2106.314253476912,53168.08,387.2757074746621,36644.68,462.0278537058128,28551.6,465.886939074278,65827.0,170.9598783340699,37101.88,174.2642407380241,26462.08,191.8703562304506,21138.96,191.2538585231681,81076.36,288.5734402192967,45077.08,220.5995321844541,32047.12,145.400775788852,25490.12,228.0677653681028,16019.9,252.357,10304.6,840.771,12194.8,75.8864,7240.0,47.0328,60321.7,1172.56,33888.4,2070.23,23786.6,671.038,19399.6,409.108
NAS8,2374702000,10537234,179532.88,616.4824941553491,212047.76,1297.142252183622,113297.88,291.7592596645392,87183.96,402.4224128947095,108406.52,1435.214050098451,1076327.0,4250.395393372245,553504.1578947369,2667.311247466018,373058.56,3361.12104012932,377095.6296296296,20404.07446628709,30448.84000000001,436.5559757923376,154586.0,1901.998107254579,90023.56,2332.872736863286,373785.28,634.987780669833,208934.2,387.9903091573294,231940.92,83109.25062875732,1491618.571428571,29282.03809679307,716185.5714285715,18629.92875423186,426700.7083333333,8246.493368290785,354982.56,26620.45670093585,38350.56,181.5332652711343,418713.7083333333,1379.223286224493,243507.32,2117.082345493439,1681783.333333333,20905.41051710989,874911.4166666666,6161.119655527088,554842.3157894737,14967.58194461277,393857.16,4653.466816729222,95213.96000000006,55.27175046983766,1714901.666666667,8814.076651710162,889964.75,1460.276008442696,649469.1875,1229.69951709503,517997.45,2269.690980618287,1860923.333333333,2217.255560872995,981186.0,1116.73183889419,709114.9333333333,1765.012501057397,601527.7058823529,9230.594326443837,168517.0,2740.87,102514.0,1835.24,102880.0,183.91,61583.7,1909.0,535405.0,6576.16,287030.0,3499.15,207966.0,4176.0,174489.0,18032.0,12001.127072,29.84428474339313,224231.04,251.4197255586761,260002.56,325.8526145360813,133790.76,449.9682904383375,89816.08,879.8948537183293,124489.12,319.5101650965115,778675.0769230769,7727.02872998948,417636.6666666667,9671.011764833891,289431.56,7556.648913797702,221443.7826086956,6093.237698333555,144513.28,356.1280129391677,82382.96,2280.036113398207,333338.32,11006.7993557437,183115.24,5056.716771028411,100452.52,1439.799100430334,1171875.555555556,53208.38532727527,532006.3684210526,17541.68318518862,335439.12,12025.73945608335,249268.72,6946.94504668059,345000.16,8216.288970964933,200183.68,4173.585055752428,1226275.555555556,40092.89410886537,548838.7894736842,8159.445250615015,355005.84,7365.562798211688,266347.28,5110.176314140247,1058010.0,38950.06315784353,550470.3157894737,19932.57327526883,379742.48,12899.18260703367,281473.4,8877.983879237448,1269181.25,38605.71409697663,652640.9375,20376.6630071902,442492.0,14462.24882687457,348047.52,11389.59071124156,123663.0,1191.4,76263.0,7565.49,97542.2,413.418,52952.6,74.1522,504270.0,6794.94,267316.0,5068.73,178698.0,4761.8,138122.0,6408.12
NAS9,2188001520,18367836,144959.04,913.1294094486278,170356.96,959.8939308069408,89410.76,634.1769015030427,66154.12,225.9545653444515,81550.68,407.0744128534732,874734.9166666666,7930.248645306709,452616.347826087,5042.146994465713,291426.64,917.5352583961011,278695.6944444444,18741.42249999456,68045.79999999999,852.73555666455,111203.6,2180.737765069427,67423.8,1841.197936127455,271519.36,266.1467084147388,147355.92,302.3919205269876,82957.4,1433.007690139868,1330135.0,16628.89803925684,525370.25,5895.442170651833,345158.88,5176.025473816759,288946.92,26180.5397681866,56999.32000000001,348.3905991843063,308864.36,582.3496461748732,168725.32,441.0528966008499,1447338.571428571,20888.66434119673,543216.2631578947,5327.954577826232,318737.4,2729.136229652158,246377.84,1096.672519214373,201079.16,252.1981887325918,1267041.25,1942.983771805622,672541.2,711.4907542149323,460062.0454545455,1405.971921266008,359868.72,3593.578912671879,1378048.75,4526.280033040377,727761.6428571428,912.057846469248,497399.6666666667,1384.421293342571,406130.8,3718.296631523634,140053.0,1931.26,85758.2,3321.2,82837.1,687.828,51799.3,1395.13,409495.0,7283.96,229875.0,13545.5,154768.0,2754.68,124261.0,3846.09,14981.345831,7.41617047606817,177726.04,67.54523225217307,208349.6,394.9199412539205,105744.28,55.95320902325442,70925.92,49.27629856229058,98508.84,46.8834128450564,594308.3529411765,580.894132419656,297203.76,354.0495197002815,197109.8,136.6370374386096,148794.3,180.5947119934579,123275.96,126.5895667106891,67268.28,1163.673820965308,248088.16,268.4679019920259,127148.52,143.9983666574034,72471.04,785.0629263950757,1064485.4,56961.9097506395,496070.0476190476,58193.51672486598,288806.52,4636.4410844526,201058.72,6109.48885272737,285269.68,319.2289109714219,145597.8,92.12643485992498,775113.7692307692,14471.59002562685,360438.72,6374.834438759959,238751.92,1246.555347186799,180605.32,1139.09180385077,775751.2307692308,457.1015968277569,378966.84,200.2393927278047,252605.4,298.2668603784202,185405.28,242.4330868507845,959446.5454545454,1025.804284331113,461380.9545454545,293.7728679335182,306937.56,1142.479866956088,234535.4,1659.941179680774,105754.0,1347.62,57135.6,1302.73,78854.7,406.422,42660.8,68.1487,387128.0,2557.41,202776.0,2770.35,138722.0,4293.61,109165.0,5359.7
