model,flops,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,onefusion|1large|float|mean,onefusion|1large|float|std,onefusion|2large|float|mean,onefusion|2large|float|std,onefusion|1small|float|mean,onefusion|1small|float|std,onefusion|2small|float|mean,onefusion|2small|float|std,onefusion|3small|float|mean,onefusion|3small|float|std,onefusion|4small|float|mean,onefusion|4small|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,onefusion|1large|quant|mean,onefusion|1large|quant|std,onefusion|2large|quant|mean,onefusion|2large|quant|std,onefusion|1small|quant|mean,onefusion|1small|quant|std,onefusion|2small|quant|mean,onefusion|2small|quant|std,onefusion|3small|quant|mean,onefusion|3small|quant|std,onefusion|4small|quant|mean,onefusion|4small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
beit-base-patch16-224,35103911432.0,368164593,1104655.6,1422.544424613868,1276836.8,6069.536865362958,712854.64,19466.50945779443,596118.0,11409.54398037012,768218.24,18693.02326811797,8632938.57142857,136871.8039865429,4004441.333333333,12238.50364854934,2570007.916666667,24112.74662551716,2639410.0,49786.59309667526,1169497.2,28107.3102975009,798047.92,30785.06571819524,2479734.4,17150.72408500586,1444702.0,19120.57425915864,1067921.92,82059.49917562012,9323081.42857143,398181.2643015946,4166472.666666667,69091.01258163435,2958536.666666667,58651.05855686894,3031292.0,91248.41892328874,2674193.47826087,5087.780423802875,1350307.2,5175.280877401729,15079260.0,58369.39609075975,5490544.545454546,15228.80247404202,3037312.5,9164.697417263704,2316211.6,14657.19009360252,8225248.75,6646.195222644306,4318627.857142857,2739.213074097399,2924913.333333333,17096.31632095148,2388962.8,6407.895454827583,8660607.142857144,4248.729942282632,4589074.285714285,2421.256209626124,3112915.5,6506.330359734279,2550637.083333333,6005.569969596743,1297300.0,38651.0,886583.0,70834.9,955509.0,3867.47,685322.0,30334.2,3977890.0,8166.24,2096620.0,5484.63,1435710.0,7815.77,1193750.0,15159.6,1887648.8,483.9943801326623,2230222.8,1685.765155648912,1139669.2,2719.352746518921,765465.4,641.9209297101942,1044125.2,285.2804935497694,4902070.8,15731.28447902459,2468091.2,5137.821577283508,1705214.0,13629.21274322182,1907562.4,47836.51051487765,1420025.6,30062.02921693744,887773.96,27840.64065854807,2553122.0,10622.19939560541,1316527.6,21575.40827516365,1028427.12,50132.25592077021,5194106.8,155227.4989225814,2556506.0,45535.10417249531,1827412.4,61410.963664805,2025739.6,132417.4836033369,2647535.652173913,1497.434983961216,1349332.8,894.6665076999362,5832902.727272728,29662.76701704408,2938456.666666667,8670.374481577692,1968928.4,5271.216694464382,1516413.6,39333.06485693683,4341452.142857143,2063.849311260838,2248971.6,2569.254646779879,1547761.2,1710.808744424695,1190946.0,1226.435485461832,5418670.0,9212.204766865892,2787650.454545455,1099.121456075993,1907798.4,1107.619718134343,1480226.8,5739.231809223253,1141990.0,18484.0,776058.0,5696.64,828613.0,1375.13,508533.0,32695.1,3894910,4708.51,2009480.0,4091.14,1404540.0,10191.4,1137270.0,18077.2
beit-base-patch16-384,110868000000.0,537577841,3891833.125,65302.12015305763,4307065.714285715,5386.51187728029,2522560.833333333,28812.49597493344,2110046.8,14325.82164345208,2720062.608695652,39719.29114230112,28846260.0,97829.4352431823,13124880.0,33398.40714764703,8692855.714285715,33673.64457220973,8341921.25,68648.85513202313,4151844.666666667,72252.66914254603,3031726.0,138188.9556151287,11310816.66666667,127010.7924110738,4870856.153846154,67303.57111778765,3489733.888888889,75885.90076474378,30380360.0,382513.3545381128,13491720.0,88032.29861817764,9409614.285714285,98391.01147348527,9108855.714285715,292837.0209254455,8836204.285714285,8043.284434221876,4454721.428571428,10011.02667572316,47939040.0,78639.85249223195,17321960.0,42632.92624251824,9939025.714285715,22413.73166937935,7101216.666666667,13566.43243041032,27065380.0,71128.0366662823,14107780.0,16975.20544794672,9725165.714285715,7104.65613351626,7585607.5,45189.68155176577,29740400.0,28148.96090444548,15270760.0,4212.647623526088,10525033.33333333,24259.95786384543,8287008.75,19354.46682131802,4309940.0,39793.0,3003270.0,25128.5,3105170.0,12254.7,2209740.0,14744.2,12973300.0,37458.0,6740960.0,7030.6,4852460.0,13772.6,3836830.0,14707.3,6037824.8,879.9005398339065,7130826.4,5234.680414313752,3624533.6,3586.463305263278,2449410.0,1367.912277889193,3344995.6,725.7001033484837,17767480.0,39886.37862729581,8982966.0,21881.10655337156,6030909.2,12169.46865561517,6073271.6,75610.28594999493,4856586.4,65373.83316771322,3117660.0,202094.8425863461,9033146.4,1024126.893070893,4418378.8,51537.44187054689,3280564.8,75700.11535631899,18239284.0,267681.4534927663,8940912.8,96528.05447205491,6397853.6,98893.97004388084,6368053.2,119290.4344772036,8819905.714285715,7398.316134949428,4492817.142857143,3494.570132099693,21253480.0,26422.29361732247,10419750.0,19605.1651357493,6825665.555555556,10353.61140548565,5098230.833333333,8285.600419134122,16031880.0,21508.08220181428,8234418.75,5454.148507099893,5632841.818181818,3086.371267897915,4330400.0,2782.960910356347,19598100.0,7907.464827617003,10089033.33333333,3791.510985814963,6857724.444444444,34952.88260600456,5358215.833333333,170152.4998081786,3839190.0,34443.5,2515180.0,27233.6,2762250.0,36510.1,1833750.0,13586.6,12745000,18919.4,6545730.0,11888.6,4704900.0,15872.7,3745010.0,22682.4
cvt-13,9117505024.0,80036227,352757.64,430.0197093157475,420604.36,2824.575619522338,236974.72,489.2330749244167,181616.2,2775.86241733988,230907.04,4500.402128521406,2271614.0,12024.54855701452,1252733.2,9883.61946657195,936093.6,17320.28442722579,1032576.16,43920.84297613605,389218.16,18608.28007459045,286513.64,18477.09687127282,782177.4,4624.271064719282,465898.2,11652.67903617018,427530.6,51246.58241483036,2593621.25,74468.89509008106,1367902.8,46602.25956066937,1057864.68,45683.39993539885,1329736.0,125868.2842657355,830161.76,3209.04428489231,477160.6,601.5442128389234,3514806.666666667,29876.46416681718,1689970.0,16853.5062227419,1136357.2,6796.123318480912,942899.88,7441.297646620515,2286689.6,8075.671355373495,1366777.2,931.6631150796944,1023454.4,1777.414031676356,889084.12,1143.568006547927,2537455.0,1417.215579931296,1513796.0,3968.615879623525,1136218.4,870.6764266936368,990172.16,2754.313891770508,385406.0,4073.2,227373.0,2883.47,301761.0,572.943,244380.0,7362.48,1432080.0,4277.48,772689.0,4956.62,552835.0,7643.15,466367.0,5288.53,630855.24,257.3754114129786,749824.8,1849.043233675189,398545.48,1170.044516076204,283902.64,858.7357162713101,376579.04,647.4649939572022,1956029.2,16005.84516231492,1126804.4,7682.658956377018,859186.72,13763.23830650331,1021600.4,58051.6497054132,487813.72,17219.29109462988,349386.48,20058.49287283569,849590.84,5635.096554132858,484502.12,12261.24427395523,471459.36,59198.20502067947,1949711.6,87317.8825066206,1150911.2,50885.07414321021,949234.2,52601.32031574873,1162200.8,80691.75501474732,884828.32,1004.497594621311,501027.2,1195.772553623807,2237546.8,13214.05606768792,1297019.6,7275.724282846349,987505.0,4847.943605282553,844409.32,7620.727948011267,1703255.2,916.821116685256,1001521.52,1205.066176440116,767922.76,851.0251831761502,653811.96,938.1071785249273,2109356.0,783.3058151194845,1230601.6,1221.355574761093,934194.88,880.474977270791,794018.32,1729.320114264563,474185.0,6274.12,228845.0,4760.76,282549.0,1632.58,206242.0,1652.46,1323980,7687.65,718823.0,5640.75,525492.0,10157.6,434733.0,12664.1
cvt-13-384,32473129244.0,80037327,1377974.0,3223.64017843183,1653850.8,5926.741377856807,1012179.88,8194.276218532055,833411.2,9960.439596724635,982056.88,19441.39987206683,8867577.142857144,29355.71091398241,5326147.5,20620.19848150514,4180448.666666667,21202.70796122252,4257770.666666667,67155.94383886573,1488740.8,25988.28811907395,1086762.4,34944.54707447215,2946125.238095238,12338.35391469474,1918211.6,27924.73121517913,1505717.2,106245.752612328,9761901.42857143,232761.8055578076,5425508.333333333,63593.40713120783,4449597.142857143,122860.651868493,4883396.923076923,246274.2979620212,3193096.315789474,6446.317766165601,1994069.2,6874.396508785335,12698280.0,128334.3508184773,6841331.111111111,22105.34346886615,5122351.666666667,27827.05183609807,4402282.857142857,26528.6148549533,8901377.142857144,12789.39930934512,5608579.090909091,13436.13070286468,4508570.0,6436.499714241319,3970998.75,4491.706072028756,10098850.0,7371.962651379436,6366011.0,8526.016009837185,5134854.166666667,3500.403448969212,4523356.428571428,6935.302658080877,1503460.0,14037.5,997971.0,36373.7,1035010.0,2424.99,859686.0,38703.1,4871940.0,13041.5,2666470.0,10186.5,1947960.0,8240.52,1645250.0,12851.5,2224463.6,1705.022885476908,2584685.6,6090.043073739298,1469946.4,5595.364424235476,1110444.8,6965.886085775448,1382242.8,21083.959119672,7891170.8,32495.04379686232,4929130.8,18699.78950041951,3959112.8,21248.37302383408,4179132.0,54429.7582577766,1806067.2,33802.00580083969,1258623.6,27832.12846765407,3163066.8,11142.01479805156,1957656.4,24897.9353168089,1681170.8,67339.70483570595,7786922.4,129297.3170728612,4949082.8,126557.0586421793,4227898.4,118907.7909871342,4663740.0,145459.4383324781,3361351.111111111,4164.24848347199,2067334.4,6297.402054815938,9140658.57142857,29745.49206113733,5812802.727272728,21379.73896043937,4689912.307692308,19566.52052470717,4216922.0,147993.0217363868,7235692.222222222,5406.475084517284,4638894.615384615,6056.478559722531,3771447.5,6211.204090190565,3400926.111111111,4130.61622909933,8860325.714285715,11587.61266814432,5645131.818181818,4676.163575531118,4536838.571428572,5334.781903619272,4061740.666666667,5667.215032290747,1708340.0,8479.94,1032800.0,72263.8,995794.0,5658.8,770269.0,43630.9,4724960,49046.8,2570710.0,15323.9,1888420.0,14706.0,1594900.0,16585.9
cvt-21,14333599576.0,126555443,559645.52,742.9148602632741,668431.48,4675.423601086858,371134.28,1744.021754910185,290034.24,5437.105930768685,374396.6,12586.32976526517,3576701.176470588,19037.57951815395,1954806.0,9439.082582539471,1432711.6,36566.88356204285,1646853.6,48691.44088071332,616013.64,18682.31698024632,450696.72,16646.27937653336,1238117.6,7306.391875611382,746507.96,26059.97827854813,743964.72,92753.6998738142,4060652.666666667,133514.6001737471,2131820.0,61173.36008427198,1632254.0,62188.14871018432,2190367.2,273914.8505433029,1315668.0,6394.45071917831,744909.76,670.3802073450557,5509807.272727272,35997.41684947284,2621810.0,21528.08923446195,1730960.4,12597.22460861916,1417591.2,12562.58677820774,3587576.470588235,4170.151557658406,2126866.4,1358.657808279921,1580148.8,1460.225516829507,1364211.2,1530.801933628254,4014982.0,1528.965663447025,2371468.8,44893.27159564114,1757528.4,6235.031791418549,1515061.6,1973.809879395683,646056.0,19578.5,404388.0,17961.6,475590.0,602.171,327353.0,1485.32,2256350.0,6411.79,1211070.0,6313.37,862600.0,7489.37,731385.0,8274.29,984196.92,280.8269103914367,1160382.8,1154.793557307972,621900.8,2234.406963827315,435914.8,783.8410553167014,590281.68,563.9297630024505,2990141.2,15668.34396354637,1695032.0,9396.570863884335,1280218.8,16431.87812028802,1566834.8,53749.44592235347,752807.28,22286.53460817989,534721.12,24431.26543316166,1321058.8,9571.535433774457,754465.84,24336.77946759595,726108.84,76158.61278236625,3013453.6,114818.272235041,1721625.2,42003.39387430497,1399971.2,48423.69769606613,1739951.2,79093.08406276746,1373751.6,1532.390759564936,768420.28,1946.534901202647,3409589.444444444,18937.56040612947,1953779.2,10135.12976532614,1475002.0,7672.065693149401,1239102.4,10249.96713360585,2590985.416666667,5150.162601936844,1507504.8,2291.415492659505,1141607.6,1169.951383605319,965962.4,9998.861943241342,3221704.210526316,904.1850985947378,1854253.2,1185.79836397256,1392067.2,864.7659567767455,1175362.0,5654.939787477847,686902.0,32081.4,417724.0,16424.8,436839.0,1180.41,282003.0,845.431,2028720,7834.34,1095430.0,4438.63,793697.0,9673.03,661029.0,6835.03
cvt-21-384,49602794936.0,126557217,2067621.2,3114.546926922117,2408663.6,5661.404687884447,1473928.0,10627.61233767962,1213960.0,15738.68253698511,1503812.0,26453.67422495408,13016340.0,46983.5120015522,7673408.75,23471.70980004439,5949436.363636363,22068.21584118714,6080933.0,89019.47360549825,2219157.6,48269.09324029197,1624029.6,28246.44196779481,4911056.923076923,400182.8665917739,2941512.380952381,209804.9693656505,2245882.4,103811.8499702226,14311700.0,448408.1845818606,7986753.75,92011.45919632782,6401504.0,159463.1091005064,7180632.222222222,301456.7027978121,4734238.461538462,4998.484148917775,2894500.952380952,8231.332071080544,19048100.0,135948.9021654828,9922580.0,26341.07276262138,7284332.222222222,31935.49393448465,6182986.0,35946.22433580473,13181260.0,16368.21309734206,8198108.75,5382.948628539938,6514613.0,4450.602318787874,5640069.090909091,5801.519322236287,14865000.0,8875.359147662703,9238027.142857144,21027.01236456554,7342655.555555556,7155.249993475825,6403997.0,8653.036519049252,2414880.0,21053.0,1623320.0,109827.0,1644210.0,31076.2,1304390.0,40998.5,7525000.0,12226.5,4074100.0,5569.94,2969220.0,11591.6,2478960.0,18322.3,3383323.6,4634.815966141482,3926089.6,5460.746820719672,2227828.8,5178.94376876212,1636574.4,6996.033207468358,2089819.6,25695.62662866971,11576200.0,43453.27605601216,7071177.2,20672.02215943085,5608575.2,27993.63915177875,5967068.0,75250.50203154793,2748096.8,42916.71345478356,1884068.0,42671.93569548961,5102802.0,305230.0882416411,2874360.4,65774.70531929428,2467266.4,95066.27220544625,11498380.0,286391.1493045831,7079090.8,93310.21551448695,5961704.8,115063.3711002767,6672598.4,147683.7157084016,5012592.5,6418.182667235329,3017135.5,6946.179147560189,13441600.0,39730.34105063786,8296271.25,16510.86039361668,6578586.0,28398.56200584811,5807670.0,29313.80407062361,10507850.0,8634.185929586336,6623973.0,12278.78173924433,5288722.5,6322.39554414833,4699164.615384615,7968.418060727773,12906780.0,8530.744398937293,8044205.0,5049.396003483981,6396007.0,7324.755354276346,5672145.454545454,15245.79784944414,2430000.0,18143.1,1561080.0,41222.8,1496530.0,5388.28,1105880.0,9131.98,6954690,30950.0,3784690.0,16298.9,2791120.0,28776.5,2326900.0,16357.8
deit-base-distilled-patch16-224,35288192984.0,346377281,1162062.4,37905.68667416539,1283142.8,6317.196542771168,754865.2,18206.36927890896,623519.44,11960.04771254697,803898.16,21520.65584257134,8726507.142857144,29748.79911827689,4041288.0,38556.52287227156,2582035.416666667,23424.77285182766,2644186.956521739,40930.23634501735,1211742.8,37068.36500521705,891077.0,50006.76338096678,2483920.8,8788.622153671187,1472613.6,23908.38478525891,1085007.48,66594.88829819899,9269312.857142856,303757.6493435085,4160746.666666667,72267.24547738684,2967048.095238095,45494.10413072881,3212317.368421053,361256.1526388036,2677374.347826087,20992.88219458059,1335179.6,3742.519450851258,14914300.0,96521.25154596784,5459196.363636363,18020.17519475288,3040620.0,9689.176951630103,2319478.4,12111.27133871585,8281630.0,32459.92991366432,4293263.571428572,4963.910623033959,2894837.142857143,5619.009523680387,2379246.4,16747.56361504562,8793444.285714285,3748.507730295035,4622286.923076923,2911.614367469029,3127408.0,5429.036378585061,2517125.833333333,7808.956885454606,1252920.0,60706.1,886117.0,163323.0,918010.0,26902.7,680766.0,19445.2,4010010.0,13758.6,2105790.0,3649.14,1454190.0,15649.2,1191330.0,8368.15,1884900.4,365.7592650911252,2229298.4,2610.407906822227,1131408.4,2351.191493689955,758194.92,1281.030676291556,1039298.8,1954.261640620314,4838373.6,16252.25347574914,2445900.8,6816.379637314812,1686710.0,11566.42036241118,1882466.4,38450.43415931737,1443033.2,30310.73667465045,881299.4,20644.79091296398,2534686.8,10190.86364151734,1307557.2,27876.55122428167,1003877.28,62813.3418894553,5065260.8,154513.5871286406,2531419.2,132352.7647741444,1805121.6,52623.20162665894,1941243.2,91488.31128488491,2629446.086956522,1223.55056799405,1337752.0,712.7075136407641,5765235.454545454,39996.88746154593,2932485.714285714,8426.76493958024,1961901.6,3180.384479901762,1499594.4,5976.947100318022,4308461.428571428,1474.506489560186,2228606.4,1182.390392383159,1531750.0,963.0036344687386,1175814.4,1323.607434249294,5361385.0,1721.513384593141,2756683.181818182,1023.840303437088,1885821.2,744.5821378464568,1461150.8,3654.165754313836,1180170.0,6665.17,703667.0,64762.2,823186.0,1593.97,478183.0,3675.76,3823810,4082.8,1986800.0,3430.37,1432570.0,35601.8,1113520.0,12150.3
deit-base-distilled-patch16-384,111080000000.0,347544641,4013360.666666667,65427.32176154614,4290306.428571428,2375.474710882188,2538873.75,35080.2144867659,2141139.2,17985.13451047837,2761391.363636364,50090.70130504668,28646400.0,40004.09978989654,12941700.0,21499.1162609071,8557556.25,32204.45735356365,8143571.25,59480.14762034052,4164710.666666667,53971.46733434456,2974724.761904762,44513.08867107009,11140833.33333333,113865.3249335469,4832625.384615385,77859.49836975918,3470605.0,97187.01252110685,29709160.0,505029.3044962836,13235400.0,106361.7412418582,9207488.57142857,115389.6991476612,8775125.714285715,140530.8531306654,8697447.142857144,12501.01334668024,4346395.714285715,4691.426396380216,47585680.0,88294.31238760512,17058520.0,59337.55640401785,9780320.0,19121.45989644694,6978576.666666667,16557.11193280868,26589420.0,6943.601371046584,13842500.0,33093.68519823684,9472555.714285715,11773.67142294663,7383311.111111111,22827.75038531658,28861400.0,11478.5016443785,14761100.0,11224.08125416063,10248666.66666667,14692.02353508718,7957908.75,23404.72678621778,4193190.0,32177.4,2830820.0,75481.5,3031780.0,16523.3,2222190.0,20635.1,13000900.0,14634.9,6799390.0,16252.8,4855200.0,9570.17,3837990.0,18816.4,5965670.4,1026.222120205952,7043183.2,6532.182312213889,3578244.4,3966.236583967225,2423101.6,1389.433496069531,3337327.6,3670.386660830164,17265860.0,30449.34153639451,8649272.8,18391.56078640418,5956161.6,23789.15293658015,5940882.4,42424.41507245562,4859752.0,54899.18374620883,3215813.6,285601.1990994436,8617360.4,732925.921416237,4386642.4,65502.2215977443,3294188.4,89107.40847673666,18001092.0,420030.4312023118,8766348.4,89619.48742009184,6222515.2,106512.8833942636,6244468.4,126398.9805553826,8727741.42857143,2527.638245881087,4439199.285714285,2190.692859367016,21145500.0,24034.30881053166,10303566.66666667,14465.09208020775,6717006.666666667,6651.330693928847,5029700.0,9842.494602487724,15736680.0,7897.44262403976,8123725.0,4108.22650300589,5562437.272727272,4121.345964849768,4247555.333333333,1715.108807691868,19466920.0,5607.994293863003,9963178.57142857,4873.389634598514,6773664.444444444,2156.041182409769,5198114.166666667,6074.746165250218,3859290.0,24692.0,2473850.0,61013.6,2660800.0,14499.5,1801610.0,50242.3,12551800,13201.4,6455200.0,15817.3,4624170.0,9426.74,3688680.0,12527.3
deit-small-distilled-patch16-224,9235565048.0,88306451,321991.04,140.3596751207411,385858.96,1448.578571704,202544.4,719.6152861077925,153059.84,3674.469384060779,207566.2,6946.357888850817,2068479.2,19910.98589623327,1035257.6,4184.521267719882,704428.28,9420.467684865758,829518.8,43425.93268912022,359900.16,15985.04490999009,243884.72,22286.40479847748,720438.52,4260.003109106847,406847.84,18541.78461891951,313729.96,52382.6318288648,2384914.8,136273.9917114047,1136119.6,37150.10766929216,808247.96,33783.0246005061,1089642.92,94466.59193044703,774147.68,5349.816794769704,406737.72,534.4010119750898,3369376.111111111,39924.99497514599,1464718.0,9151.690554209097,859420.44,5200.239502792156,665654.48,3974.050317950189,2138089.6,2687.61229346794,1183923.2,2070.079650641492,816994.8,845.1982489333495,699609.72,852.2446371787856,2344699.2,1433.909118459047,1283091.2,1354.374601061316,884094.56,693.1112510989848,755343.52,2737.695587460374,350890.0,15825.5,219959.0,2904.32,269602.0,813.13,180752.0,1290.78,1247320.0,3507.01,660294.0,6562.86,469508.0,7157.08,393158.0,7494.98,557060.32,184.4953592912299,657777.16,584.1598192275809,339057.32,1485.961391692261,230626.36,516.2982765805054,312643.28,754.778988578776,1596455.6,11754.32893192972,834423.84,5707.690542977956,570583.72,3872.056017363385,736636.6,52906.79204336623,419391.44,16681.09534312421,276982.4,19213.44557334785,753818.72,2959.071104519119,404747.64,22567.45162197983,346588.8,61355.15949812208,1599976.4,53688.21121102844,845107.88,20299.28805711176,635513.2,38401.12866049642,890270.52,76735.50264232066,801092.84,944.8519748616711,410950.28,465.8302283021144,1854674.4,16933.08810111139,985417.56,3283.671823797256,687413.32,3048.397778768381,558407.32,3222.843684946572,1419905.6,3818.873216015426,752260.96,849.0583716093965,530853.68,809.7640505727578,439562.08,922.2983430539165,1757582.4,667.2407661406788,924998.84,590.164294413005,645079.48,882.5583774459341,530669.36,3651.905221990297,332309.0,1213.99,200458.0,4227.31,254793.0,421.206,150342.0,199.998,1144310,5663.34,608637.0,4363.36,438869.0,7607.84,362941.0,7157.98
deit-tiny-distilled-patch16-224,2515649288.0,22970625,105739.4,132.3788502745057,124826.64,229.1895076132413,73924.28,473.4060008069183,56189.56,395.1010078448295,67056.28,147.8662963626262,629457.92,8600.128849825449,364819.24,5378.304359405481,283460.12,11547.38734543879,383110.72,43365.26386638965,115989.72,9318.578546194693,94115.56,15405.94428155574,228700.0,3206.249896686158,141488.32,9850.10306025272,173042.64,57477.72961269782,670728.52,30338.82648240699,416255.36,22075.51383389297,378382.92,33730.94345187517,524091.84,55843.9670859297,239868.04,321.0384998719001,147503.68,451.6276094306016,750858.04,10379.37308503746,445445.64,3088.804984196963,356854.36,2894.785130264421,313522.56,6332.804990397225,567839.44,990.4807349969003,392794.76,555.0103624257839,318492.16,401.4010144481451,287023.44,598.7643997433381,668184.92,473.1110584207476,449130.04,1688.108349129285,361183.52,1244.696979027426,327929.08,3114.525773468571,138690.0,4537.4,95952.1,2907.26,97283.0,557.854,73397.4,5409.02,426599.0,4656.71,240145.0,4214.71,178753.0,4395.55,151846.0,3854.21,181879.4,88.9656113338182,217084.76,351.8550019539298,120644.08,375.4197565392637,86297.4,333.6166662503539,112830.84,1769.536926543213,591895.0,7957.746027613598,355332.28,4943.99356407348,279133.28,7778.901395544231,401309.0,64425.71860491741,140904.8,7942.993188968501,102437.8,15623.15111109151,250495.92,2786.471287058239,157892.24,11578.34005125087,232733.88,74421.06675844952,586236.6,19665.70333346865,374696.48,14145.33647000311,345923.28,27107.35306372793,548372.24,64445.89381816657,276806.16,534.1532124774689,162896.76,1452.328042282459,694720.16,6007.290049131972,430421.52,3141.219102450512,350015.72,3824.601098363069,311636.88,4429.88578019795,534836.56,376.4576023936826,347232.72,411.9203340453103,282323.32,363.2542602640746,249139.36,254.9845297268052,660718.36,333.8960173467183,419908.32,605.1707673045684,338233.04,459.6362457422173,296339.6,949.9765470789265,129318.0,8632.12,94237.9,1609.4,88722.7,504.994,55903.1,1322.98,387435,3008.86,223334.0,4901.72,167477.0,4441.65,144867.0,5487.12
